K2-075c,5995,94,94,-1,-1,-1,1.160,0.060,0.060,1.560,0.150,0.150,4.118,0.069,0.069,-1,-1,-1,18.311,-1,-1,-1,0.143,0.002,0.002,-1,-1,-1,0.247,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-080b,5441,249,249,-1,-1,-1,0.900,0.080,0.080,0.870,0.100,0.100,4.519,0.072,0.072,-1,-1,-1,19.092,-1,-1,-1,0.135,0.004,0.004,-1,-1,-1,0.179,0.027,0.027,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-080c,5441,249,249,-1,-1,-1,0.900,0.080,0.080,0.870,0.100,0.100,4.519,0.072,0.072,-1,-1,-1,5.605,-1,-1,-1,0.060,0.002,0.002,-1,-1,-1,0.131,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-081,4530,156,156,-1,-1,-1,0.697,0.074,0.074,0.631,0.073,0.073,4.668,0.050,0.050,-1,-1,-1,6.102,-1,-1,-1,0.058,0.002,0.002,-1,-1,-1,0.162,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-083b,3910,49,49,-1,-1,-1,0.484,0.020,0.020,0.424,0.016,0.016,4.863,0.050,0.050,-1,-1,-1,2.747,-1,-1,-1,0.030,0.000,0.000,-1,-1,-1,0.111,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-083c,3910,49,49,-1,-1,-1,0.484,0.020,0.020,0.424,0.016,0.016,4.863,0.050,0.050,-1,-1,-1,9.998,-1,-1,-1,0.071,0.001,0.001,-1,-1,-1,0.132,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-084b,5652,154,154,-1,-1,-1,0.950,0.070,0.070,0.930,0.120,0.120,4.481,0.089,0.089,-1,-1,-1,6.421,-1,-1,-1,0.067,0.002,0.002,-1,-1,-1,0.215,0.031,0.031,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-084c,5652,154,154,-1,-1,-1,0.950,0.070,0.070,0.930,0.120,0.120,4.481,0.089,0.089,-1,-1,-1,27.860,-1,-1,-1,0.177,0.004,0.004,-1,-1,-1,0.181,0.028,0.028,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-085,4268,122,122,-1,-1,-1,0.573,0.051,0.051,0.507,0.044,0.044,4.776,0.057,0.057,-1,-1,-1,0.685,-1,-1,-1,0.013,0.000,0.000,-1,-1,-1,0.090,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-086,5482,248,248,-1,-1,-1,0.790,0.080,0.080,0.760,0.090,0.090,4.579,0.070,0.070,-1,-1,-1,8.777,-1,-1,-1,0.077,0.003,0.003,-1,-1,-1,0.175,0.024,0.024,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
