Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,Mp_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag
Kepler-1132b,5298,54.0,57.0,-0.01,0.16,0.17,0.87,0.04,0.06,0.83,0.06,0.05,4.55,0.04,0.08,,,,,,,,,,,,,0.223,0.011,0.019,,,,,,,384.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,5,28.19,48,25,26.1,15.7,13.63,0.2846,0.08,2454972.12778,0.006,62.8917493,0.0004637,2016ApJ...822...86M,0.5,0.0007622973815848539,16.330652138389553,15.071652138389554,14.661652138389554,13.561652138389555,16.766652138389553,15.768347861610446,13.906347861610445,14.293347861610446,0.29546681963763943,428.1835112623707,0.03078848664119951,,1.0,,0.027609733457330837,76.54803271783435,-0.06834786161044626,0.06834786161044626,15.98251325901729,16.222681597650336,15.327421017439542,15.091922138389554,15.005730428544995,14.056509647981866,15.071652138389554,15.7,14.536666068583157,13.768173930805222,15.7,14.012340768592114
Kepler-1133b,5569,158.0,118.0,-0.02,0.14,0.16,0.93,0.05,0.04,0.9,0.1,0.06,4.5,0.05,0.09,,,,,,,,,,,,,0.188,0.022,0.008,,,,,,,703.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,33,17.38,42,52,2.8,15.01,13.17,0.0698,0.04,2454971.19752,0.002,11.5556204,3.1e-05,2016ApJ...822...86M,0.9207303983907074,0.00046078843055898734,15.553968701653162,14.461968701653161,14.09196870165316,13.15896870165316,15.780968701653162,15.02103129834684,13.40903129834684,13.73303129834684,0.09764042873594925,815.2990411674957,0.023952376865685906,,1.0,,0.021465983102550587,23.328702079652945,-0.01103129834683969,0.01103129834683969,15.14287329689065,15.459352575390664,14.696293058311767,14.51235870165316,14.451762846730881,13.493513453883594,14.461968701653161,15.01,13.942369986383419,13.28951564917342,15.01,13.370515023196702
Kepler-1134b,5281,170.0,135.0,-0.1,0.16,0.18,0.84,0.05,0.06,0.81,0.06,0.06,4.56,0.04,0.07,,,,,,,,,,,,,0.206,0.045,0.02,,,,,,,611.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,42,16.31,42,28,41.8,16.04,13.88,0.1273,0.09,2454980.1546,0.004,17.1326312,7.89e-05,2016ApJ...822...86M,0.689191690396371,0.0006830229392385105,16.65799385675775,15.398993856757752,14.988993856757752,13.888993856757752,17.09399385675775,16.031006143242248,14.169006143242248,14.556006143242248,0.12272008756076153,654.2355609854907,0.027399633279552162,,1.0,,0.026134707559842915,32.57872218798631,0.008993856757751217,-0.008993856757751217,16.195697168652046,16.57423860878017,15.658142497003432,15.419263856757752,15.333072146913192,14.383851366350061,15.398993856757752,16.04,14.864007786951355,14.024503071621124,16.04,14.342345138205586
Kepler-1135b,5656,66.0,73.0,0.02,0.13,0.17,0.96,0.04,0.06,0.94,0.17,0.07,4.47,0.06,0.15,,,,,,,,,,,,,0.186,0.051,0.033,,,,,,,451.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,4,0.71,44,45,23.7,14.51,12.75,0.398,0.04,2455025.33682,0.007,76.957056,0.0006256,2016ApJ...822...86M,0.5,0.000413467204629103,15.048130583994443,13.991130583994442,13.630130583994443,12.733130583994443,15.233130583994443,14.526869416005557,12.967869416005557,13.277869416005558,0.3492978331475969,447.4130833220687,0.023578592323127107,,1.0,,0.020333893002302903,79.90453833274364,-0.016869416005556914,0.016869416005556914,14.73502953213518,14.932727776813074,14.217668718067927,14.048297583994444,13.993460796429677,13.033172306270197,13.991130583994442,14.51,13.474946052739087,12.858934708002778,14.51,12.889618885814402
Kepler-1136b,4512,46.0,48.0,0.03,0.16,0.17,0.72,0.03,0.07,0.68,0.02,0.03,4.63,0.02,0.02,,,,,,,,,,,,,0.136,0.01,0.012,,,,,,,922.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,18,56,25.87,44,14,44.9,16.05,13.17,0.0507,0.06,2454966.23932,0.001,2.3617245,3.5e-06,2016ApJ...822...86M,0.7776923969482381,0.00042240677767403786,16.98599385675775,15.180993856757754,14.605993856757753,13.016993856757752,18.041993856757752,16.20300614324225,13.498006143242248,14.058006143242249,0.031107862619862016,1017.2360878832163,0.013687380821221295,,1.0,,0.020552537013080352,9.837045231547322,-0.15300614324224782,0.15300614324224782,17.04149545436634,16.792402608780172,15.501018497003434,15.077018856757753,14.885244245358788,13.972676838142593,15.180993856757754,16.05,14.578803471064257,13.334003071621124,16.05,14.177124576651286
Kepler-1137b,6807,118.0,120.0,0.05,0.13,0.16,1.5,0.23,0.05,1.84,0.69,0.33,4.08,0.14,0.21,,,,,,,,,,,,,0.269,0.058,0.065,,,,,,,1020.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,8,31.26,48,39,55.3,12.8,11.7,0.2156,0.02,2454972.07872,0.005,23.9210408,0.0001499,2016ApJ...822...86M,0.8075363072966851,0.00022570428313497648,13.08771695116019,12.50071695116019,12.281716951160188,11.788716951160188,13.07971695116019,12.711283048839812,11.836283048839812,11.976283048839813,0.18599030979728334,1032.4114228233996,0.04056616525780906,,1.0,,0.015023457762278845,21.735813722577614,0.08871695116018863,-0.08871695116018863,12.539225581130411,13.022245423590748,12.668625525200419,12.664809951160189,12.700838448569513,11.708006467707325,12.50071695116019,12.8,12.036102427405257,11.768141524419907,12.8,11.291579862975317
Kepler-1138b,5582,62.0,65.0,0.04,0.14,0.15,0.95,0.04,0.03,0.92,0.13,0.06,4.49,0.05,0.12,,,,,,,,,,,,,0.151,0.016,0.005,,,,,,,1080.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,3,35.81,48,18,26.2,15.54,13.75,0.0695,0.03,2454965.67813,0.003,3.1705973,1e-05,2016ApJ...822...86M,0.7686803168581937,0.00028447828856763166,16.06470609916998,14.972706099169981,14.602706099169982,13.66970609916998,16.291706099169982,15.620293900830019,14.008293900830019,14.332293900830019,0.041521698347084135,1267.0083853481333,0.017353085299066914,,1.0,,0.01686648417921268,9.70489163334317,-0.08029390083001964,0.08029390083001964,15.479892289813103,16.006939331457804,15.212173570691595,15.023096099169981,14.962500244247703,14.004250851400418,14.972706099169981,15.54,14.45310738390024,13.87914695041501,15.54,13.885478319123173
Kepler-1139b,5550,105.0,154.0,0.05,0.13,0.15,0.94,0.04,0.05,0.91,0.12,0.06,4.5,0.05,0.12,,,,,,,,,,,,,0.102,0.009,0.005,,,,,,,1693.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,11,46.94,39,13,50.0,14.32,12.34,0.0588,0.02,2454964.82536,0.001,0.8131664,1.4e-06,2016ApJ...822...86M,0.4955197406289617,0.00013267480119915132,14.898285264916767,13.792285264916767,13.419285264916768,12.473285264916768,15.141285264916768,14.186714735083232,12.554714735083232,12.883714735083233,0.016702010472784558,1975.4343500476575,0.004899035394006223,,1.0,,0.011518454809528548,3.946669578016402,0.1332852649167684,-0.1332852649167684,14.736413334763997,14.750803553130991,14.02118509918399,13.840416264916767,13.77790072087532,12.820330402284235,13.792285264916767,14.32,13.27154458280659,12.447357367541617,14.32,12.69779633157943
Kepler-1140b,4850,53.0,48.0,-0.08,0.15,0.18,0.76,0.04,0.04,0.73,0.03,0.04,4.61,0.03,0.04,,,,,,,,,,,,,0.248,0.023,0.025,,,,,,,500.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,18,46,46.55,46,56,47.2,15.75,13.3,0.0932,0.1,2454981.20086,0.003,24.0863218,9.92e-05,2016ApJ...822...86M,0.8869503141536007,0.0012187890061017086,16.55300105817671,15.01900105817671,14.538001058176711,13.153001058176711,17.35400105817671,15.89699894182329,13.596998941823289,14.086998941823289,0.14895601228551358,517.7349077795208,0.03599575686553577,,1.0,,0.034911158761944706,43.8771677011542,-0.14699894182328954,0.14699894182328954,16.57553931555352,16.36640203388466,15.302177775643528,14.98580805817671,14.854183705845106,13.920851540101916,15.01900105817671,15.75,14.455838054922552,13.448499470911646,15.75,13.994038150275523
Kepler-1141b,5791,58.0,65.0,0.04,0.09,0.09,1.01,0.03,0.07,1.07,0.15,0.1,4.38,0.09,0.1,,,,,,,,,,,,,0.087,0.012,0.012,,,,,,,1471.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,22,10.47,47,43,33.1,12.72,10.97,0.0588,0.01,2454965.87316,0.002,2.3445126,5.7e-06,2016ApJ...822...86M,0.8489910917393342,6.981388986406655e-05,13.283716951160189,12.270716951160189,11.92071695116019,11.069716951160189,13.41671695116019,12.620283048839813,11.129283048839813,11.422283048839812,0.03465362639606841,1551.6880200773503,0.002775830917936731,,1.0,,0.008355470654850422,6.964153257708767,0.09971695116018786,-0.09971695116018786,13.390747009701837,13.079195423590749,12.47867552520042,12.33616695116019,12.28836902369905,11.325584486604146,12.270716951160189,12.72,11.758681485289616,11.049641524419908,12.72,11.148358166071342
Kepler-1142b,5685,99.0,132.0,0.02,0.12,0.17,0.97,0.05,0.1,0.96,0.24,0.08,4.46,0.07,0.19,,,,,,,,,,,,,0.243,0.058,0.039,,,,,,,902.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,30,51.46,44,4,56.3,14.49,12.65,0.3443,0.02,2454975.89166,0.006,18.3027235,0.0001492,2016ApJ...822...86M,0.5,0.0006766139815232818,15.02323130413634,13.97523130413634,13.61623130413634,12.72823130413634,15.19823130413634,14.41176869586366,12.86576869586366,13.17276869586366,0.13454706883786924,732.2548601957342,0.034933601186607335,,1.0,,0.02601180465717982,30.137444011833946,0.07823130413633983,-0.07823130413633983,14.704683732539625,14.908983819323522,14.200674545931937,14.03390430413634,13.980347309317686,13.019605304669518,13.97523130413634,14.49,13.459803096216804,12.75788434793183,14.49,12.871784627625305
Kepler-1143b,5053,193.0,130.0,-0.06,0.15,0.17,0.81,0.05,0.05,0.77,0.05,0.04,4.58,0.03,0.05,,,,,,,,,,,,,0.15,0.009,0.005,,,,,,,976.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,9,12.67,39,17,22.8,15.48,13.07,0.0668,0.04,2454965.15271,0.002,2.8889044,7.1e-06,2016ApJ...822...86M,0.77,0.0004007485451874621,16.195907539453774,14.815907539453775,14.373907539453775,13.147907539453776,16.795907539453776,15.402092460546225,13.346092460546226,13.778092460546226,0.0370047070230039,1111.4744238286632,0.01718434734269945,,1.0,,0.020018704882870473,10.334028468978678,0.0779075394537756,-0.0779075394537756,16.09583711919339,16.035316416478704,15.081220226419617,14.812081539453775,14.705413145671391,13.763375179804486,14.815907539453775,15.48,14.268359537004496,13.208046230273112,15.48,13.771174372246781
Kepler-1143c,5053,193.0,130.0,-0.06,0.15,0.17,0.81,0.05,0.02,0.77,0.05,0.04,4.58,0.03,0.05,,,,,,,,,,,,,0.288,0.015,0.012,,,,,,,234.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,9,12.67,39,17,22.8,15.48,13.07,0.3508,0.17,2455133.72292,0.006,210.631486,0.002,2016ApJ...822...86M,0.642,0.00147731943697906,16.195907539453774,14.815907539453775,14.373907539453775,13.147907539453776,16.795907539453776,15.402092460546225,13.346092460546226,13.778092460546226,0.6458282691773706,266.0537797099507,0.044848972361000765,,1.0,,0.038435913375111305,180.35564274569958,0.0779075394537756,-0.0779075394537756,16.09583711919339,16.035316416478704,15.081220226419617,14.812081539453775,14.705413145671391,13.763375179804486,14.815907539453775,15.48,14.268359537004496,13.208046230273112,15.48,13.771174372246781
Kepler-1144b,5753,92.0,86.0,-0.03,0.14,0.18,0.98,0.05,0.05,0.96,0.14,0.07,4.47,0.06,0.12,,,,,,,,,,,,,0.325,0.049,0.075,,,,,,,811.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,20,10.38,47,15,28.7,15.1,13.43,0.1765,0.04,2454973.66122,0.005,17.1464876,8.66e-05,2016ApJ...822...86M,0.4411722191417126,0.0012103058781418256,15.586666541227473,14.573666541227473,14.223666541227473,13.372666541227472,15.719666541227472,15.157333458772527,13.666333458772527,13.959333458772527,0.129260348347845,756.0153742843104,0.05357287542869105,,1.0,,0.03478945067318289,28.953261820794815,-0.05733345877252738,0.05733345877252738,14.998822981391635,15.529542447859317,14.802197574719738,14.639116541227473,14.591318613766333,13.62853407667143,14.573666541227473,15.1,14.0616310753569,13.548166729386264,15.1,13.468940546834963
Kepler-1145b,5064,161.0,117.0,-0.13,0.18,0.19,0.79,0.05,0.08,0.75,0.05,0.05,4.59,0.04,0.05,,,,,,,,,,,,,0.143,0.017,0.016,,,,,,,958.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,41,13.96,43,2,39.8,15.71,13.31,0.0756,0.03,2454967.63962,0.002,3.970766,1.11e-05,2016ApJ...822...86M,0.6607507270220574,0.00038390205318472885,16.41710177831861,15.037101778318608,14.595101778318607,13.369101778318608,17.01710177831861,15.650898221681393,13.594898221681394,14.026898221681394,0.04536613112504928,992.8685509639307,0.016018087352350368,,1.0,,0.0195934186191366,13.006902627002765,0.059101778318607856,-0.059101778318607856,16.237617230243682,16.27335607639511,15.304765603507539,15.033275778318608,14.926607384536224,13.984569418669318,15.037101778318608,15.71,14.489553775869329,13.452449110840696,15.71,13.994187643547853
Kepler-1146b,4692,46.0,42.0,-0.06,0.14,0.16,0.74,0.03,0.06,0.7,0.02,0.04,4.62,0.02,0.03,,,,,,,,,,,,,0.115,0.009,0.007,,,,,,,1019.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,6,51.98,47,25,32.2,16.16,13.52,0.0725,0.03,2454964.80267,0.003,2.3522739,8.1e-06,2016ApJ...822...86M,0.41360651435446255,0.00028501681809893633,17.05759097619017,15.317590976190168,14.767590976190169,13.224590976190168,18.06159097619017,16.455409023809832,13.847409023809831,14.391409023809832,0.03130946764645548,1069.7997192350774,0.00751923536535809,,1.0,,0.016882441117887434,9.617917601306557,-0.2954090238098317,0.2954090238098317,17.046528224177194,16.878119438738377,15.630514185547392,15.23244097619017,15.056663774117629,14.13860401632227,15.317590976190168,16.16,14.72597329938304,13.683704511904915,16.16,14.311765908447011
Kepler-1147b,5941,85.0,114.0,0.11,0.15,0.14,1.09,0.09,0.06,1.14,0.35,0.13,4.36,0.09,0.21,,,,,,,,,,,,,0.167,0.054,0.019,,,,,,,872.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,30,11.4,41,38,34.6,15.57,13.88,0.1907,0.03,2454970.81843,0.006,10.627887,8.22e-05,2016ApJ...822...86M,0.5,0.00022661785592780937,15.985605379028087,15.053605379028086,14.725605379028087,13.949605379028087,16.043605379028087,15.500394620971914,14.127394620971915,14.389394620971915,0.09735986619454429,980.2916235980464,0.020123315245052623,,1.0,,0.015053831935019382,18.364475354042927,0.06960537902808639,-0.06960537902808639,15.10553737512295,15.990468288947358,15.279482742827588,15.135621379028088,15.1019011717742,14.13411195500881,15.053605379028086,15.57,14.549789667491146,14.003697310485958,15.57,13.937508531563012
Kepler-1148b,5054,100.0,98.0,-0.02,0.15,0.16,0.81,0.04,0.07,0.77,0.04,0.04,4.58,0.03,0.05,,,,,,,,,,,,,0.143,0.012,0.014,,,,,,,1397.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,23,48.85,45,43,10.3,15.55,13.2,0.0436,0.05,2454965.32134,0.001,1.1044625,1.6e-06,2016ApJ...822...86M,0.7708436066675827,0.00036421808891281827,16.263155739099037,14.883155739099035,14.441155739099035,13.215155739099036,16.86315573909904,15.534844260900964,13.478844260900965,13.910844260900966,0.01949255820689208,1531.7203352336253,0.016018087352350368,,1.0,,0.019084498655003182,5.44354131267744,0.015155739099036225,-0.015155739099036225,16.13826840389662,16.10782881020258,15.149203156759592,14.879329739099035,14.772661345316651,13.830623379449746,14.883155739099035,15.55,14.335607736649756,13.339422130450483,15.55,13.838992277328122
Kepler-1149b,5833,117.0,177.0,0.02,0.15,0.17,1.02,0.07,0.05,1.01,0.18,0.1,4.43,0.07,0.13,,,,,,,,,,,,,0.132,0.02,0.006,,,,,,,1128.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,36,45.42,45,9,5.6,15.14,13.3,0.1212,0.02,2454965.89428,0.003,3.7309003,1.5e-05,2016ApJ...822...86M,0.5,0.00018037485771474452,15.57901546101463,14.63501546101463,14.30301546101463,13.51701546101463,15.64601546101463,14.922984538985371,13.532984538985371,13.79998453898537,0.047389522922367866,1298.5084879964156,0.012303165350980631,,1.0,,0.013430370721418844,10.089377495243161,0.2170154610146291,-0.2170154610146291,14.858419895070705,15.550050884093643,14.857846332923724,14.71401946101463,14.677739668268515,13.71086164075307,14.63501546101463,15.14,14.129713004194524,13.416492269492686,15.14,13.517585483577092
Kepler-1150b,4754,80.0,77.0,0.01,0.15,0.16,0.76,0.03,0.04,0.72,0.03,0.03,4.61,0.02,0.03,,,,,,,,,,,,,0.208,0.131,0.119,,,,,,,1432.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,46,53.87,49,31,57.7,14.76,12.13,0.0848,0.02,2454966.90417,0.003,2.7878742,9.8e-06,2016ApJ...822...86M,0.153,0.0008813178447766962,15.599324822859277,14.065324822859276,13.584324822859276,12.199324822859277,16.400324822859275,14.690675177140724,12.390675177140723,12.880675177140724,0.03537744758600758,1034.1784298550306,0.027791725204207165,,1.0,,0.02968699790778273,10.56567891186253,0.06932482285927577,-0.06932482285927577,15.949446357471174,15.34323843672948,14.33880309515585,14.032131822859276,13.900507470527671,12.967175304784481,14.065324822859276,14.76,13.502161819605117,12.260337588570362,14.76,13.033056762727881
Kepler-1151b,5470,97.0,94.0,-0.11,0.17,0.19,0.88,0.05,0.05,0.85,0.08,0.06,4.53,0.05,0.09,,,,,,,,,,,,,0.351,0.051,0.062,,,,,,,485.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,28,59.47,47,52,42.4,15.06,13.13,0.2394,0.06,2455006.30166,0.007,65.6480892,0.0005494,2016ApJ...822...86M,0.5516610564642246,0.0018007244780698663,15.635317621440318,14.494317621440318,14.112317621440319,13.130317621440318,15.91931762144032,15.059682378559684,13.373682378559684,13.715682378559684,0.3051983168129665,440.18883204831684,0.059992579898931475,,1.0,,0.04243494406818355,77.20876702507638,0.0003176214403168842,-0.0003176214403168842,15.296037210569729,15.525468011624989,14.733354816515753,14.535671621440319,14.467397010041356,13.511862038952199,14.494317621440318,15.06,13.970139304257785,13.251841189279842,15.06,13.411459253993227
Kepler-1152b,3964,46.0,46.0,-0.25,0.14,0.11,0.55,0.04,0.05,0.53,0.03,0.03,4.73,0.02,0.02,,,,,,,,,,,,,0.077,0.006,0.005,,,,,,,806.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,21,44.16,44,6,27.5,15.22,11.68,0.0499,0.03,2454965.0615,0.002,1.6468017,3.5e-06,2016ApJ...822...86M,0.5376774996581538,0.00022289513926925688,16.432263660659892,14.195263660659892,13.388263660659891,11.50826366065989,17.645263660659893,15.39173633934011,12.027736339340109,12.658736339340109,0.0223608487756582,930.5950458432026,0.0017947559869148841,,1.0,,0.01492967311327535,9.072267009156432,-0.171736339340109,0.171736339340109,16.849095251673003,16.162026656505596,14.614310641951775,13.91659266065989,13.576362090711706,12.71371556703528,14.195263660659892,15.22,13.488193222836742,11.853868169670054,15.22,13.160564019996302
Kepler-1153b,5470,75.0,94.0,0.03,0.13,0.16,0.91,0.04,0.12,0.88,0.1,0.05,4.52,0.04,0.11,,,,,,,,,,,,,0.173,0.039,0.015,,,,,,,1343.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,16,35.33,45,51,58.2,15.95,14.03,0.0809,0.04,2454966.15509,0.002,1.7558436,4.9e-06,2016ApJ...822...86M,0.3103520536098066,0.00040812927585893197,16.49229601718344,15.35129601718344,14.96929601718344,13.98729601718344,16.776296017183437,15.99270398281656,14.30670398281656,14.64870398281656,0.027602231903687095,1489.32630441914,0.021195472728474617,,1.0,,0.020202209677630117,6.7447357131456815,-0.04270398281656007,0.04270398281656007,15.855212627008207,16.445616736311518,15.599149980595461,15.39265001718344,15.324375405784478,14.36884043469532,15.35129601718344,15.95,14.827117700000906,14.16835199140828,15.95,14.275586286504245
Kepler-1154b,6327,317.0,263.0,0.04,0.14,0.16,1.26,0.25,0.05,1.43,0.65,0.29,4.23,0.15,0.24,,,,,,,,,,,,,0.209,0.042,0.036,,,,,,,1314.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,49,54.5,39,52,38.0,14.95,13.35,0.1689,0.03,2454965.32455,0.003,5.1856008,2.08e-05,2016ApJ...822...86M,0.2915053770156471,0.00022557521707149066,15.276170141936953,14.516170141936954,14.239170141936953,13.607170141936953,15.255170141936953,14.692829858063046,13.564829858063046,13.763829858063046,0.06332804567522517,1449.776674633054,0.027988438560989322,,1.0,,0.015019161663404874,9.522773549612985,0.2571701419369532,-0.2571701419369532,14.329849411985238,15.29508666041156,14.720002714039786,14.636589141936954,14.635503649708971,13.65604823866414,14.516170141936954,14.95,14.031010046594034,13.457414929031522,14.95,13.360837030597146
Kepler-1154c,6327,317.0,263.0,0.04,0.14,0.16,1.26,0.25,0.04,1.43,0.65,0.29,4.23,0.15,0.24,,,,,,,,,,,,,0.225,0.046,0.037,,,,,,,1117.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,49,54.5,39,52,38.0,14.95,13.35,0.1249,0.03,2454970.06123,0.004,8.4580512,4.52e-05,2016ApJ...822...86M,0.8121375790598149,0.00026143507163856625,15.276170141936953,14.516170141936954,14.239170141936953,13.607170141936953,15.255170141936953,14.692829858063046,13.564829858063046,13.763829858063046,0.08774928204867853,1231.621793449139,0.031195415629708918,,1.0,,0.01616895394385692,13.195047047181983,0.2571701419369532,-0.2571701419369532,14.329849411985238,15.29508666041156,14.720002714039786,14.636589141936954,14.635503649708971,13.65604823866414,14.516170141936954,14.95,14.031010046594034,13.457414929031522,14.95,13.360837030597146
Kepler-1155b,5842,116.0,142.0,0.04,0.14,0.16,1.03,0.06,0.02,1.03,0.22,0.1,4.43,0.07,0.16,,,,,,,,,,,,,0.219,0.062,0.037,,,,,,,609.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,15,16.94,39,31,22.1,14.92,13.18,0.1979,0.04,2454973.14977,0.005,33.4698571,0.0002208,2016ApJ...822...86M,0.6408799809477154,0.00047740247582299286,15.367270862078849,14.42327086207885,14.091270862078849,13.30527086207885,15.434270862078849,14.79472913792115,13.40472913792115,13.67172913792115,0.20526811646324464,631.0339340371555,0.029979778411757547,,1.0,,0.02184954177604173,42.853636479150026,0.12527086207884963,-0.12527086207884963,14.721126040961083,15.322513702922011,14.643897541903797,14.502274862078849,14.465995069332735,13.49911704181729,14.42327086207885,14.92,13.917968405258744,13.292364568960576,14.92,13.30398285414568
Kepler-1156b,5778,67.0,59.0,0.02,0.1,0.1,1.0,0.03,0.05,1.0,0.09,0.06,4.44,0.06,0.08,,,,,,,,,,,,,0.119,0.018,0.012,,,,,,,787.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,15,41.76,46,3,27.4,14.29,12.66,0.143,0.02,2454965.8908,0.004,11.8952044,5.39e-05,2016ApJ...822...86M,0.5826589441254706,0.00014954255946605124,14.806385985058663,13.793385985058663,13.443385985058663,12.592385985058662,14.939385985058664,14.357614014941337,12.866614014941337,13.159614014941337,0.10198143600407342,872.4695404042671,0.00849583862096406,,1.0,,0.012228759522782809,21.929288022333907,-0.06761401494133779,0.06761401494133779,14.486565106596997,14.69240859564144,14.013981927048,13.858835985058663,13.811038057597523,12.84825352050262,13.793385985058663,14.29,13.28135051918809,12.763307007470669,14.29,12.681972914929908
Kepler-1157b,4679,55.0,58.0,0.05,0.15,0.18,0.76,0.03,0.06,0.71,0.03,0.03,4.62,0.01,0.03,,,,,,,,,,,,,0.07,0.005,0.006,,,,,,,732.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,18,52,29.04,43,31,32.3,14.72,12.02,0.0968,0.02,2454965.16006,0.003,4.4574327,1.71e-05,2016ApJ...822...86M,0.175,0.00010264794736177278,15.670425543001173,13.930425543001173,13.380425543001174,11.837425543001173,16.674425543001174,14.902574456998828,12.294574456998827,12.838574456998828,0.048372764818929756,864.4006045401886,0.001276951469699954,,1.0,,0.010131532330391725,14.650281541913936,-0.18257445699882702,0.18257445699882702,16.1358475578756,15.38988147923993,14.22924192301986,13.845275543001174,13.669498340928634,12.751438583133275,13.930425543001173,14.72,13.338807866194045,12.157287228499413,14.72,12.914776933667149
Kepler-1158b,6203,91.0,81.0,0.18,0.1,0.1,1.41,0.13,0.04,1.95,0.37,0.38,4.01,0.15,0.12,,,,,,,,,,,,,0.207,0.033,0.051,,,,,,,1079.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,28,56.14,41,34,30.7,13.74,12.27,0.1829,0.01,2454976.15629,0.005,13.5395359,8.81e-05,2016ApJ...822...86M,0.8264365008342716,0.00011899873778142569,14.156749307683738,13.326749307683738,13.027749307683738,12.336749307683737,14.157749307683737,13.67325069231626,12.444250692316261,12.669250692316261,0.12466620520104467,1182.9816681615596,0.02759545639850255,,1.0,,0.010908654260788802,13.74730402238332,0.06674930768373954,-0.06674930768373777,13.726020314078971,14.066297882084749,13.52508724253218,13.430602307683738,13.415439095248505,12.441027191495804,13.326749307683738,13.74,12.833609831039379,12.357125346158131,13.74,12.174980769785769
Kepler-1159b,6217,148.0,197.0,0.04,0.14,0.15,1.19,0.18,0.05,1.28,0.55,0.2,4.3,0.11,0.25,,,,,,,,,,,,,0.153,0.048,0.018,,,,,,,677.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,37,3.91,45,12,15.5,14.71,13.16,0.146,0.03,2454966.72114,0.004,22.7082375,0.0001019,2016ApJ...822...86M,0.840591685783606,0.00015088074125017625,15.07097590307212,14.270975903072122,13.98197590307212,13.316975903072121,15.05897590307212,14.55302409692788,13.36902409692788,13.58202409692788,0.16630722713692397,831.6940389178927,0.017692139448746452,,1.0,,0.012283352199223803,27.938594964722,0.15697590307212117,-0.15697590307212117,14.26638272950639,15.059829000495155,14.476195336951866,14.38235890307212,14.373594654367459,13.396892320546254,14.270975903072122,14.71,13.78147619268309,13.26451204846394,14.71,13.121780056589873
