System,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Ephemeris_reference
CoRoT-32,TEP,06,40,46.84,+09,15,26.8,14.47,12.19,0.104,0.29,2455901.811,0.002,6.71837,0.00001,2018MNRAS.473..710B
CoRoT-33,BD,18,38,33.91,+05,37,29.0,14.89,12.71,0.058,0.28,2456676.3992,0.0037,5.819143,0.000018,2015A+A...584A..13C
CoRoT-34,BD,06,51,29.01,-03,49,03.5,14.19,12.68,0.084,0.3,2454787.7411,0.0016,2.11853,0.00006,2022MNRAS.516..636S
CoRoT-35,TEP,19,17,15.43,-02,46,28.8,15.64,12.94,0.175,1.1,2456074.2415,0.0018,3.22748,0.00008,2022MNRAS.516..636S
CoRoT-36,TEP,18,31,00.24,+07,11,00.1,13.13,11.59,0.208,1.0,2455662.52236,0.00034,5.616531,0.000023,2022MNRAS.516..636S
DS_Tuc,TEP,23,39,39.48,-69,11,44.7,8.23,6.68,0.13,0.4,2458332.30926,0.00037,8.138268,0.000011,2019ApJ...880L..17N
EPIC_201170410,TEP,11,20,33.81,-04,48,25.2,16.44,12.86,0.077,0.14,2456813.1485,0.0006,6.7987,0.0001,2020MNRAS.498.2778D
EPIC_201702477,BD,11,40,57.77,+03,40,53.5,14.57,12.77,0.168,0.6,2456811.5462,0.0011,40.73691,0.00037,2017AJ....153...15B
EPIC_201757695,TEP,11,35,45.24,+04,36,59.2,15.02,12.15,0.076,0.02,2456811.6370,0.0008,2.0478,0.0001,2020MNRAS.498.2778D
EPIC_210768568,TEP,03,52,00.83,+19,23,28.3,12.24,10.27,0.12,0.005,2457064.8359,0.0019,3.2141,0.0002,2023MNRAS.518..669D
EPIC_212036875,BD,08,58,45.67,+20,52,08.7,10.95,9.77,0.08911,0.3,2458098.67911,0.00020,5.1699000,0.0000018,2025ApJ...986..121W
EPIC_219388192,BD,19,17,34.04,-16,52,17.8,12.54,10.73,0.15017,1.0,2457341.037551,0.000095,5.2926298,0.0000086,2026AJ....171...12C
EPIC_246078343b,TEP,23,33,40.22,-07,36,43.0,15.16,11.86,0.08,0.02,2457738.6914,0.0019,0.8094,0.00003,2023MNRAS.518..669D
EPIC_246078343c,TEP,23,33,40.22,-07,36,43.0,15.16,11.86,0.14,0.04,2457739.6914,0.0024,5.3301,0.0003,2023MNRAS.518..669D
EPIC_246220667b,TEP,23,26,32.70,-04,36,23.7,14.38,11.44,0.17,0.1,2457740.2578,0.0011,6.6690,0.0002,2023MNRAS.518..669D
EPIC_246220667c,TEP,23,26,32.70,-04,36,23.7,14.38,11.44,0.15,0.04,2457742.0977,0.0013,4.3696,0.0001,2023MNRAS.518..669D
EPIC_247422570,TEP,05,05,02.92,+21,34,48.6,15.67,12.54,0.16,0.05,2457823.1445,0.0035,5.9382,0.0005,2023MNRAS.518..669D
