NAME,MSINI,A,PER,TT,K,B,DEPTH,I,R,DENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
,mjupiter,au,day,,m/s,,,deg,rjupiter,g/cm^3,,,,
Kepler-1010 b,,0.196353,34.2685705,2454980.052,,,0.000682254,,0.207,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
K2-24 c,0.0980475,0.246993,42.3633,2456915.6251,5.3,0.22,0.00353,89.76,0.715399,0.35509,Petigura 2016,http://adsabs.harvard.edu/abs/2016ApJ...818...36P,Petigura 2016,http://adsabs.harvard.edu/abs/2016ApJ...818...36P
Kepler-811 b,,0.161485,23.58447697,2454978.957,,,0.000410468,,0.241,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-225 c,,0.138343,18.794234,2455010.7935,,0.32,,,0.164154,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1305 b,,0.11018,13.5630972,2454973.653,,,0.000321844,,0.168,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-150 d,,0.105752,12.56093,2454999.79588,,0.12,,,0.248907,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
K2-77 b,,0.0738763,8.199796,2457070.80596,,0.46,0.000773,88.7,0.210271,,Gaidos 2017,http://adsabs.harvard.edu/abs/2017MNRAS.464..850G,Gaidos 2017,http://adsabs.harvard.edu/abs/2017MNRAS.464..850G
Kepler-1322 b,,0.0184246,0.96286738,2454965.124,,,0.00028426,,0.144,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-405 b,,0.0945195,10.613839,2455196.7367599998,,0.45,,,0.185565,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-208 b,,0.0511769,4.22864,2455003.74197,,0.16,,,0.145419,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1084 b,,0.0328337,2.05333679,2454967.518,,,0.00005776,,0.099,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-616 b,,0.0902152,9.99761851,2455004.788,,,0.000542424,,0.217,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-325 d,,0.223972,38.715185,2454967.0309,,0.17,,,0.248907,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
