Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter
Kepler-344c,5774,200.0,200.0,-0.1,0.5,0.5,0.979,,,0.976,0.454,0.454,4.451,0.3,0.3,1.486,0.518,0.518,,,,,,,,,,0.263,0.123,0.123,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,59.91,46,19,27.9,15.56,13.66,0.3139,0.09,2455048.44167,0.00546,125.596809,0.001728,2014ApJ...784...45R,0.03
Kepler-346b,6033,200.0,200.0,-0.03,0.5,0.5,1.103,,,1.021,0.476,0.476,4.464,0.3,0.3,1.462,0.399,0.399,,,,,,,,,,0.237,0.111,0.111,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,12,2.86,46,7,3.4,15.33,13.58,0.0629,0.07,2454964.7057,0.00166,6.511127,1.7e-05,2014ApJ...784...45R,0.32
Kepler-346c,6033,200.0,200.0,-0.03,0.5,0.5,1.103,,,1.021,0.476,0.476,4.464,0.3,0.3,1.462,0.399,0.399,,,,,,,,,,0.274,0.13,0.13,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,12,2.86,46,7,3.4,15.33,13.58,0.0994,0.08,2454980.61656,0.00271,23.851549,9.8e-05,2014ApJ...784...45R,0.63
Kepler-347b,6088,200.0,200.0,-0.07,0.5,0.5,1.088,,,1.005,0.464,0.464,4.472,0.3,0.3,1.513,0.461,0.461,,,,,,,,,,0.176,0.084,0.084,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,16,47.9,49,18,20.6,14.64,13.04,0.2602,0.03,2454966.64816,0.00481,12.79836,0.000106,2014ApJ...784...45R,0.71
Kepler-347c,6088,200.0,200.0,-0.07,0.5,0.5,1.088,,,1.005,0.464,0.464,4.472,0.3,0.3,1.513,0.461,0.461,,,,,,,,,,0.156,0.075,0.075,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,16,47.9,49,18,20.6,14.64,13.04,0.1636,0.03,2454987.30618,0.00991,27.320871,0.000457,2014ApJ...784...45R,0.77
Kepler-348b,6177,100.0,100.0,-0.06,0.1,0.1,1.169,,,1.359,0.251,0.251,4.244,0.15,0.15,0.657,0.325,0.325,,,,,,,,,,0.136,0.026,0.026,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,49,1.21,40,32,54.1,12.64,11.37,0.0795,0.01,2454965.53178,0.00236,7.05677,3.1e-05,2014ApJ...784...45R,0.05
Kepler-348c,6177,100.0,100.0,-0.06,0.1,0.1,1.169,,,1.359,0.251,0.251,4.244,0.15,0.15,0.657,0.325,0.325,,,,,,,,,,0.119,0.022,0.022,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,49,1.21,40,32,54.1,12.64,11.37,0.2161,0.01,2454968.35658,0.00636,17.265427,0.000179,2014ApJ...784...45R,0.62
Kepler-349b,5956,200.0,200.0,-0.09,0.5,0.5,1.029,,,0.927,0.349,0.349,4.518,0.3,0.3,1.822,0.582,0.582,,,,,,,,,,0.17,0.064,0.064,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,34,42.36,44,36,56.1,14.88,13.17,0.0985,0.04,2454968.49118,0.00193,5.929778,2e-05,2014ApJ...784...45R,0.48
Kepler-349c,5956,200.0,200.0,-0.09,0.5,0.5,1.029,,,0.927,0.349,0.349,4.518,0.3,0.3,1.822,0.582,0.582,,,,,,,,,,0.175,0.066,0.066,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,34,42.36,44,36,56.1,14.88,13.17,0.1366,0.04,2454971.21701,0.00304,12.247629,6.3e-05,2014ApJ...784...45R,0.15
Kepler-350b,6186,100.0,100.0,-0.09,0.1,0.1,1.202,,,1.534,0.306,0.306,4.15,0.17,0.17,0.47,0.292,0.292,,,,,,,,,,0.165,0.034,0.034,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,1,40.71,39,42,22.0,13.91,12.39,0.2133,0.01,2454973.63108,0.00699,11.189562,0.000119,2014ApJ...784...45R,0.38
Kepler-350c,6186,100.0,100.0,-0.09,0.1,0.1,1.202,,,1.534,0.306,0.306,4.15,0.17,0.17,0.47,0.292,0.292,,,,,,,,0.106,0.0,0.279,0.056,0.056,,,,,,,,,,2014ApJS..210...25X,2014ApJ...784...45R,KTEP,19,1,40.71,39,42,22.0,13.91,12.39,0.236,0.04,2454981.38793,0.00297,17.848568,9.1e-05,2014ApJ...784...45R,
Kepler-350d,6186,100.0,100.0,-0.09,0.1,0.1,1.202,,,1.534,0.306,0.306,4.15,0.17,0.17,0.47,0.292,0.292,,,,,,,,3.52,0.0,0.247,0.05,0.05,,,,,,,,,,2014ApJS..210...25X,2014ApJ...784...45R,KTEP,19,1,40.71,39,42,22.0,13.91,12.39,0.276,0.03,2454964.62333,0.00417,26.13591,0.000193,2014ApJ...784...45R,
Kepler-351b,5643,200.0,200.0,-0.13,0.5,0.5,0.955,,,0.854,0.414,0.414,4.556,0.3,0.3,2.164,0.77,0.77,,,,,,,,,,0.273,0.138,0.138,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,5,48.65,42,39,28.4,16.19,14.09,0.2134,0.1,2455033.20033,0.00698,37.054919,0.000484,2014ApJ...784...45R,0.86
Kepler-351c,5643,200.0,200.0,-0.13,0.5,0.5,0.955,,,0.854,0.414,0.414,4.556,0.3,0.3,2.164,0.77,0.77,,,,,,,,,,0.285,0.138,0.138,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,5,48.65,42,39,28.4,16.19,14.09,0.2468,0.14,2455017.69417,0.00492,57.24809,0.000599,2014ApJ...784...45R,0.21
Kepler-351d,5225,61.0,58.0,-0.16,0.16,0.23,0.81,0.05,0.04,0.78,0.05,0.07,4.58,0.04,0.06,,,,,,,,,,,,,0.225,0.062,0.021,,,,,,,318.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,5,48.64,42,39,28.3,16.19,14.1,0.3646,0.09,2455035.88,0.012,142.545,0.003,2016ApJ...822...86M,
Kepler-352b,5212,100.0,100.0,-0.14,0.1,0.1,0.82,,,0.781,0.053,0.053,4.566,0.15,0.15,2.43,0.404,0.404,,,,,,,,,,0.077,0.007,0.007,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,59,35.16,46,3,7.1,13.16,11.13,0.1235,0.01,2455006.23302,0.00547,10.05537,0.000194,2014ApJ...784...45R,0.26
Kepler-352c,5212,100.0,100.0,-0.14,0.1,0.1,0.82,,,0.781,0.053,0.053,4.566,0.15,0.15,2.43,0.404,0.404,,,,,,,,,,0.111,0.009,0.009,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,59,35.16,46,3,7.1,13.16,11.13,0.0884,0.03,2454969.90648,0.00512,16.332995,0.000272,2014ApJ...784...45R,0.12
Kepler-353b,3903,100.0,100.0,-0.2,0.1,0.1,0.521,,,0.504,0.016,0.016,4.751,0.1,0.1,5.739,0.355,0.355,,,,,,,,,,0.079,0.005,0.005,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,47,25.59,41,45,29.4,16.32,12.8,0.091,0.03,2454969.78197,0.00569,5.795278,5.5e-05,2014ApJ...784...45R,0.27
Kepler-353c,3903,100.0,100.0,-0.2,0.1,0.1,0.521,,,0.504,0.016,0.016,4.751,0.1,0.1,5.739,0.355,0.355,,,,,,,,,,0.123,0.006,0.006,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,47,25.59,41,45,29.4,16.32,12.8,0.0939,0.07,2454966.80505,0.00265,8.410894,3.9e-05,2014ApJ...784...45R,0.46
Kepler-354b,4648,200.0,200.0,-0.04,0.5,0.5,0.699,,,0.674,0.21,0.21,4.627,0.3,0.3,3.223,1.065,1.065,,,,,,,,,,0.164,0.052,0.052,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,3,0.35,41,20,8.3,15.9,13.16,0.1043,0.06,2454968.70204,0.00241,5.47666,2.4e-05,2014ApJ...784...45R,0.73
Kepler-354c,4648,200.0,200.0,-0.04,0.5,0.5,0.699,,,0.674,0.21,0.21,4.627,0.3,0.3,3.223,1.065,1.065,,,,,,,,,,0.117,0.037,0.037,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,3,0.35,41,20,8.3,15.9,13.16,0.144,0.04,2454970.26772,0.0084,16.934402,0.000228,2014ApJ...784...45R,0.63
Kepler-354d,4648,200.0,200.0,-0.04,0.5,0.5,0.699,,,0.674,0.21,0.21,4.627,0.3,0.3,3.223,1.065,1.065,,,,,,,,,,0.111,0.036,0.036,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,3,0.35,41,20,8.3,15.9,13.16,0.1822,0.04,2454974.4763,0.01256,24.209842,0.000403,2014ApJ...784...45R,0.16
Kepler-355b,6184,250.0,250.0,-0.05,0.5,0.5,1.143,,,1.066,0.478,0.478,4.441,0.3,0.3,1.331,0.399,0.399,,,,,,,,,,0.13,0.059,0.059,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,3,11.87,42,48,42.4,15.22,13.67,0.2056,0.02,2455195.3382,0.01661,11.03189,0.000338,2014ApJ...784...45R,0.38
Kepler-355c,6184,250.0,250.0,-0.05,0.5,0.5,1.143,,,1.066,0.478,0.478,4.441,0.3,0.3,1.331,0.399,0.399,,,,,,,,,,0.242,0.109,0.109,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,3,11.87,42,48,42.4,15.22,13.67,0.284,0.06,2454980.70457,0.00714,25.762294,0.000267,2014ApJ...784...45R,0.26
Kepler-356b,6133,100.0,100.0,-0.02,0.1,0.1,1.162,,,1.335,0.243,0.243,4.256,0.15,0.15,0.689,0.326,0.326,,,,,,,,,,0.14,0.026,0.026,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,41.06,37,40,58.1,13.1,11.7,0.1238,0.01,2454965.77463,0.00268,4.612696,2.1e-05,2014ApJ...784...45R,0.26
Kepler-356c,6133,100.0,100.0,-0.02,0.1,0.1,1.162,,,1.335,0.243,0.243,4.256,0.15,0.15,0.689,0.326,0.326,,,,,,,,,,0.161,0.029,0.029,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,41.06,37,40,58.1,13.1,11.7,0.1511,0.02,2454966.3931,0.00407,13.121632,8.8e-05,2014ApJ...784...45R,0.16
Kepler-357b,5036,200.0,200.0,0.05,0.5,0.5,0.804,,,0.834,0.487,0.487,4.503,0.3,0.3,1.956,1.082,1.082,,,,,,,,,,0.164,0.096,0.096,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,24,58.34,44,0,31.4,15.84,13.4,0.1105,0.05,2454970.57941,0.00323,6.475434,3.4e-05,2014ApJ...784...45R,0.27
Kepler-357c,5036,200.0,200.0,0.05,0.5,0.5,0.804,,,0.834,0.487,0.487,4.503,0.3,0.3,1.956,1.082,1.082,,,,,,,,,,0.238,0.14,0.14,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,24,58.34,44,0,31.4,15.84,13.4,0.084,0.08,2454975.34264,0.00299,16.85837,8.1e-05,2014ApJ...784...45R,0.82
Kepler-357d,5036,200.0,200.0,0.05,0.5,0.5,0.804,,,0.834,0.487,0.487,4.503,0.3,0.3,1.956,1.082,1.082,,,,,,,,,,0.306,0.182,0.182,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,24,58.34,44,0,31.4,15.84,13.4,0.2747,0.11,2454972.04946,0.00538,49.499875,0.00046,2014ApJ...784...45R,0.91
Kepler-358b,5908,200.0,200.0,-0.03,0.5,0.5,1.057,,,0.954,0.476,0.476,4.504,0.3,0.3,1.718,0.514,0.514,,,,,,,,,,0.243,0.121,0.121,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,32,55.25,48,16,52.9,15.54,13.65,0.1025,0.08,2454974.36327,0.00332,34.060467,0.000194,2014ApJ...784...45R,0.38
Kepler-358c,5908,200.0,200.0,-0.03,0.5,0.5,1.057,,,0.954,0.476,0.476,4.504,0.3,0.3,1.718,0.514,0.514,,,,,,,,,,0.254,0.128,0.128,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,32,55.25,48,16,52.9,15.54,13.65,0.2537,0.09,2455021.53814,0.00504,83.488369,0.00083,2014ApJ...784...45R,0.25
Kepler-359b,6248,250.0,250.0,-0.04,0.5,0.5,1.151,,,1.086,0.503,0.503,4.429,0.3,0.3,1.268,0.449,0.449,,,,,,,,,,0.315,0.146,0.146,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,33,10.47,42,11,46.9,16.04,14.48,0.1785,0.11,2455208.28439,0.00369,25.563222,0.000202,2014ApJ...784...45R,0.21
Kepler-359c,6248,250.0,250.0,-0.04,0.5,0.5,1.151,,,1.086,0.503,0.503,4.429,0.3,0.3,1.268,0.449,0.449,,,,,,,,,,0.384,0.178,0.178,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,33,10.47,42,11,46.9,16.04,14.48,0.1734,0.16,2454972.94136,0.00667,57.68802,0.000545,2014ApJ...784...45R,0.06
Kepler-359d,6248,250.0,250.0,-0.04,0.5,0.5,1.151,,,1.086,0.503,0.503,4.429,0.3,0.3,1.268,0.449,0.449,,,,,,,,,,0.358,0.17,0.17,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,33,10.47,42,11,46.9,16.04,14.48,0.1448,0.09,2455035.67392,0.01213,77.095691,0.001453,2014ApJ...784...45R,0.92
Kepler-360b,6053,200.0,200.0,-0.12,0.5,0.5,1.077,,,1.058,0.501,0.501,4.423,0.3,0.3,1.283,0.397,0.397,,,,,,,,,,0.147,0.07,0.07,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,5,8.33,44,46,53.6,14.99,13.22,0.0963,0.02,2454964.75603,0.00213,3.289672,1.2e-05,2014ApJ...784...45R,0.07
Kepler-360c,6053,200.0,200.0,-0.12,0.5,0.5,1.077,,,1.058,0.501,0.501,4.423,0.3,0.3,1.283,0.397,0.397,,,,,,,,,,0.187,0.089,0.089,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,5,8.33,44,46,53.6,14.99,13.22,0.0586,0.04,2454969.62273,0.00263,7.186434,2.9e-05,2014ApJ...784...45R,0.19
Kepler-361b,6169,100.0,100.0,-0.04,0.1,0.1,1.167,,,1.343,0.255,0.255,4.254,0.15,0.15,0.68,0.322,0.322,,,,,,,,,,0.129,0.025,0.025,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,47,12.82,46,44,28.1,13.68,12.19,0.2157,0.01,2454971.01734,0.00464,8.486616,8.4e-05,2014ApJ...784...45R,0.27
Kepler-361c,6169,100.0,100.0,-0.04,0.1,0.1,1.167,,,1.343,0.255,0.255,4.254,0.15,0.15,0.68,0.322,0.322,,,,,,,,,,0.225,0.043,0.043,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,47,12.82,46,44,28.1,13.68,12.19,0.382,0.03,2455013.75018,0.00573,55.188023,0.000655,2014ApJ...784...45R,0.05
Kepler-362b,5788,200.0,200.0,-0.72,0.5,0.5,0.824,,,0.722,0.304,0.304,4.639,0.3,0.3,3.091,0.959,0.959,,,,,,,,,,0.079,0.034,0.034,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,27,5.19,47,31,47.6,14.66,12.78,0.0751,0.01,2454972.3793,0.00577,10.327186,0.000101,2014ApJ...784...45R,0.42
Kepler-362c,5788,200.0,200.0,-0.72,0.5,0.5,0.824,,,0.722,0.304,0.304,4.639,0.3,0.3,3.091,0.959,0.959,,,,,,,,,,0.129,0.054,0.054,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,27,5.19,47,31,47.6,14.66,12.78,0.1987,0.04,2454967.35783,0.00452,37.866281,0.000298,2014ApJ...784...45R,0.32
Kepler-363b,5593,100.0,100.0,0.34,0.1,0.1,1.133,,,1.485,0.231,0.231,4.152,0.15,0.15,0.488,0.246,0.246,,,,,,,,,,0.103,0.017,0.017,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,46.1,41,18,19.4,13.53,11.69,0.1417,0.01,2454967.69656,0.00852,3.614568,5.3e-05,2014ApJ...784...45R,0.06
Kepler-363c,5593,100.0,100.0,0.34,0.1,0.1,1.133,,,1.485,0.231,0.231,4.152,0.15,0.15,0.488,0.246,0.246,,,,,,,,,,0.151,0.024,0.024,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,46.1,41,18,19.4,13.53,11.69,0.2042,0.01,2454965.95422,0.00492,7.542427,5.8e-05,2014ApJ...784...45R,0.1
Kepler-363d,5593,100.0,100.0,0.34,0.1,0.1,1.133,,,1.485,0.231,0.231,4.152,0.15,0.15,0.488,0.246,0.246,,,,,,,,,,0.183,0.036,0.036,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,46.1,41,18,19.4,13.53,11.69,0.2646,0.02,2454975.10532,0.00443,11.932125,9.3e-05,2014ApJ...784...45R,0.68
Kepler-364b,6108,125.0,125.0,-0.11,0.1,0.1,1.103,,,1.284,0.249,0.249,4.273,0.15,0.15,0.735,0.363,0.363,,,,,,,,,,0.138,0.033,0.033,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,46,16.79,47,23,55.3,13.73,12.38,0.291,0.01,2454968.95058,0.01321,25.745718,0.000548,2014ApJ...784...45R,0.68
Kepler-364c,6108,125.0,125.0,-0.11,0.1,0.1,1.103,,,1.284,0.249,0.249,4.273,0.15,0.15,0.735,0.363,0.363,,,,,,,,,,0.192,0.037,0.037,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,46,16.79,47,23,55.3,13.73,12.38,0.2743,0.03,2455009.15025,0.00697,59.980627,0.000879,2014ApJ...784...45R,0.27
Kepler-365b,6012,200.0,200.0,-0.05,0.5,0.5,1.084,,,1.048,0.487,0.487,4.434,0.3,0.3,1.329,0.419,0.419,,,,,,,,,,0.182,0.087,0.087,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,42,30.38,49,7,49.5,14.82,13.14,0.1372,0.03,2454965.00994,0.00403,10.664903,6.9e-05,2014ApJ...784...45R,0.87
Kepler-365c,6012,200.0,200.0,-0.05,0.5,0.5,1.084,,,1.048,0.487,0.487,4.434,0.3,0.3,1.329,0.419,0.419,,,,,,,,,,0.146,0.069,0.069,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,42,30.38,49,7,49.5,14.82,13.14,0.1609,0.02,2454979.90524,0.0077,17.784129,0.000215,2014ApJ...784...45R,0.22
Kepler-366b,6209,200.0,200.0,-0.08,0.5,0.5,1.13,,,1.048,0.47,0.47,4.452,0.3,0.3,1.385,0.389,0.389,,,,,,,,,,0.13,0.059,0.059,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,47,24.49,49,5,4.0,14.96,13.35,0.1188,0.02,2454965.41897,0.0037,3.281959,2.2e-05,2014ApJ...784...45R,0.33
Kepler-366c,6209,200.0,200.0,-0.08,0.5,0.5,1.13,,,1.048,0.47,0.47,4.452,0.3,0.3,1.385,0.389,0.389,,,,,,,,,,0.16,0.072,0.072,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,47,24.49,49,5,4.0,14.96,13.35,0.2016,0.03,2454968.0286,0.0055,12.51616,9.5e-05,2014ApJ...784...45R,0.2
Kepler-367b,4710,100.0,100.0,0.08,0.1,0.1,0.751,,,0.695,0.037,0.037,4.631,0.15,0.15,3.158,0.393,0.393,,,,,,,,,,0.116,0.014,0.014,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,49,10.18,49,58,53.9,13.16,10.67,0.193,0.02,2454974.09798,0.00455,37.815724,0.000279,2014ApJ...784...45R,0.9
Kepler-367c,4710,100.0,100.0,0.08,0.1,0.1,0.751,,,0.695,0.037,0.037,4.631,0.15,0.15,3.158,0.393,0.393,,,,,,,,,,0.107,0.014,0.014,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,49,10.18,49,58,53.9,13.16,10.67,0.2182,0.03,2455004.18362,0.00434,53.578637,0.000382,2014ApJ...784...45R,0.75
Kepler-368b,5502,206.0,206.0,0.08,0.1,0.1,1.161,,,2.019,0.559,0.559,3.903,0.35,0.35,0.199,0.364,0.364,,,,,,,,,,0.291,0.081,0.081,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,27,31.21,45,23,16.6,13.02,11.17,0.4202,0.03,2454975.16776,0.00668,26.84768,0.000326,2014ApJ...784...45R,0.28
Kepler-368c,5502,206.0,206.0,0.08,0.1,0.1,1.161,,,2.019,0.559,0.559,3.903,0.35,0.35,0.199,0.364,0.364,,,,,,,,,,0.346,0.096,0.096,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,27,31.21,45,23,16.6,13.02,11.17,0.3202,0.04,2455012.5342,0.0127,72.379334,0.00137,2014ApJ...784...45R,0.46
Kepler-369b,3591,100.0,100.0,-0.1,0.1,0.1,0.492,,,0.471,0.014,0.014,4.785,0.1,0.1,6.645,0.318,0.318,,,,,,,,,,0.101,0.005,0.005,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,34,41.81,47,54,30.5,16.43,12.39,0.0432,0.06,2455187.09555,0.00151,2.732756,9e-06,2014ApJ...784...45R,0.27
Kepler-369c,3591,100.0,100.0,-0.1,0.1,0.1,0.492,,,0.471,0.014,0.014,4.785,0.1,0.1,6.645,0.318,0.318,,,,,,,,,,0.126,0.005,0.005,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,34,41.81,47,54,30.5,16.43,12.39,0.1011,0.09,2454970.69114,0.00367,14.871572,8.3e-05,2014ApJ...784...45R,0.01
Kepler-370b,5852,200.0,200.0,-0.12,0.5,0.5,1.001,,,0.9,0.416,0.416,4.531,0.3,0.3,1.938,0.607,0.607,,,,,,,,,,0.142,0.07,0.07,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,28,41.07,40,54,58.7,15.37,13.55,0.1367,0.02,2454968.09728,0.00564,4.57953,4.1e-05,2014ApJ...784...45R,0.91
Kepler-370c,5852,200.0,200.0,-0.12,0.5,0.5,1.001,,,0.9,0.416,0.416,4.531,0.3,0.3,1.938,0.607,0.607,,,,,,,,,,0.17,0.079,0.079,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,28,41.07,40,54,58.7,15.37,13.55,0.1424,0.04,2454972.66161,0.0054,19.02293,0.000177,2014ApJ...784...45R,0.35
Kepler-371b,5666,146.0,146.0,-0.36,0.1,0.1,0.868,,,0.992,0.249,0.249,4.39,0.15,0.15,1.254,0.649,0.649,,,,,,,,,,0.169,0.046,0.046,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,18.35,38,39,27.3,14.0,12.34,0.1739,0.03,2454994.73489,0.00644,34.763278,0.000351,2014ApJ...784...45R,0.62
Kepler-371c,5666,146.0,146.0,-0.36,0.1,0.1,0.868,,,0.992,0.249,0.249,4.39,0.15,0.15,1.254,0.649,0.649,,,,,,,,,,0.159,0.04,0.04,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,18.35,38,39,27.3,14.0,12.34,0.3251,0.03,2454996.5629,0.00949,67.968015,0.00107,2014ApJ...784...45R,0.1
Kepler-372b,6509,200.0,200.0,-0.14,0.5,0.5,1.198,,,1.137,0.488,0.488,4.405,0.3,0.3,1.15,0.373,0.373,,,,,,,,,,0.121,0.053,0.053,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,25,1.49,49,15,32.2,14.98,13.55,0.1717,0.01,2454967.68069,0.01274,6.849692,0.000134,2014ApJ...784...45R,0.2
Kepler-372c,6509,200.0,200.0,-0.14,0.5,0.5,1.198,,,1.137,0.488,0.488,4.405,0.3,0.3,1.15,0.373,0.373,,,,,,,,,,0.186,0.08,0.08,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,25,1.49,49,15,32.2,14.98,13.55,0.2513,0.03,2454969.58035,0.00595,20.053763,0.00019,2014ApJ...784...45R,0.23
Kepler-372d,6509,200.0,200.0,-0.14,0.5,0.5,1.198,,,1.137,0.488,0.488,4.405,0.3,0.3,1.15,0.373,0.373,,,,,,,,,,0.151,0.065,0.065,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,25,1.49,49,15,32.2,14.98,13.55,0.3125,0.02,2454982.03083,0.01474,30.092568,0.00068,2014ApJ...784...45R,0.3
Kepler-373b,5787,200.0,200.0,-0.27,0.5,0.5,0.948,,,0.845,0.418,0.418,4.562,0.3,0.3,2.216,0.718,0.718,,,,,,,,,,0.121,0.06,0.06,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,17,33.12,50,35,49.4,14.67,12.85,0.1193,0.02,2454965.76048,0.00318,5.535309,2.9e-05,2014ApJ...784...45R,0.16
Kepler-373c,5787,200.0,200.0,-0.27,0.5,0.5,0.948,,,0.845,0.418,0.418,4.562,0.3,0.3,2.216,0.718,0.718,,,,,,,,,,0.111,0.055,0.055,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,17,33.12,50,35,49.4,14.67,12.85,0.1198,0.02,2454976.74868,0.00671,16.725948,0.000227,2014ApJ...784...45R,0.48
Kepler-374b,5977,200.0,200.0,-0.44,0.5,0.5,0.91,,,0.911,0.474,0.474,4.479,0.3,0.3,1.699,0.637,0.637,,,,,,,,,,0.092,0.048,0.048,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,36,33.1,42,22,13.8,14.85,13.13,0.11,0.01,2454965.67854,0.00407,1.897806,1.1e-05,2014ApJ...784...45R,0.05
Kepler-374c,5977,200.0,200.0,-0.44,0.5,0.5,0.91,,,0.911,0.474,0.474,4.479,0.3,0.3,1.699,0.637,0.637,,,,,,,,,,0.098,0.051,0.051,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,36,33.1,42,22,13.8,14.85,13.13,0.1379,0.01,2454964.89972,0.00375,3.282807,2e-05,2014ApJ...784...45R,0.29
