Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter
Kepler-127c,6106,106.0,106.0,0.33,0.1,0.1,1.24,,,1.359,0.035,0.035,4.265,0.051,0.051,0.697,0.023,0.023,,,,,,,,,,0.237,0.012,0.012,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,0,45.6,46,1,40.7,11.56,10.23,0.296,0.03,2455042.06708,0.00121,29.393195,7.3e-05,2014ApJ...784...45R,0.77
Kepler-127d,6106,106.0,106.0,0.33,0.1,0.1,1.24,,,1.359,0.035,0.035,4.265,0.051,0.051,0.697,0.023,0.023,,,,,,,,,,0.236,0.012,0.012,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,0,45.6,46,1,40.7,11.56,10.23,0.2924,0.03,2455005.54709,0.00143,48.630408,0.000128,2014ApJ...784...45R,0.62
Kepler-130b,5884,75.0,75.0,-0.22,0.1,0.1,0.94,,,1.127,0.033,0.033,4.304,0.053,0.053,0.927,0.053,0.053,,,,,,,,,,0.091,0.004,0.004,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,13,48.16,40,14,43.2,11.8,10.49,0.1353,0.01,2454972.06666,0.00269,8.457458,3.9e-05,2014ApJ...784...45R,0.12
Kepler-130c,5884,75.0,75.0,-0.22,0.1,0.1,0.94,,,1.127,0.033,0.033,4.304,0.053,0.053,0.927,0.053,0.053,,,,,,,,,,0.251,0.008,0.008,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,13,48.16,40,14,43.2,11.8,10.49,0.244,0.06,2455015.10387,0.00065,27.508653,3.3e-05,2014ApJ...784...45R,0.38
Kepler-130d,5884,75.0,75.0,-0.22,0.1,0.1,0.94,,,1.127,0.033,0.033,4.304,0.053,0.053,0.927,0.053,0.053,,,,,,,,,,0.146,0.014,0.014,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,13,48.16,40,14,43.2,11.8,10.49,0.076,0.02,2455034.15805,0.00467,87.517905,0.000744,2014ApJ...784...45R,0.84
Kepler-132b,6003,146.0,146.0,-0.2,0.1,0.1,1.014,,,1.178,0.229,0.229,4.31,0.15,0.15,0.875,0.421,0.421,,,,,,,,,,0.138,0.027,0.027,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,56.59,41,20,34.9,11.91,10.42,0.1213,0.02,2455012.42116,0.00212,18.010199,6.7e-05,2014ApJ...784...45R,0.26
Kepler-132c,6003,146.0,146.0,-0.2,0.1,0.1,1.014,,,1.178,0.229,0.229,4.31,0.15,0.15,0.875,0.421,0.421,,,,,,,,,,0.114,0.022,0.022,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,56.59,41,20,34.9,11.91,10.42,0.1375,0.01,2455002.63908,0.00185,6.414914,1.9e-05,2014ApJ...784...45R,0.08
Kepler-132d,6003,146.0,146.0,-0.2,0.1,0.1,1.014,,,1.178,0.229,0.229,4.31,0.15,0.15,0.875,0.421,0.421,,,,,,,,,,0.108,0.021,0.021,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,56.59,41,20,34.9,11.91,10.42,0.136,0.01,2455001.86198,0.0019,6.178196,2.2e-05,2014ApJ...784...45R,0.01
Kepler-132e,6023,82.0,66.0,-0.13,0.12,0.12,1.03,0.06,0.04,1.1,0.15,0.1,4.37,0.08,0.11,,,,,,,,,,,,,0.126,0.018,0.021,,,,,,,414.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,18,52,56.59,41,20,34.9,11.91,10.42,0.1845,0.01,2455072.22128,0.004,110.286703,0.0007428,2016ApJ...822...86M,0.675
Kepler-133b,5736,100.0,100.0,0.25,0.1,0.1,1.146,,,1.425,0.236,0.236,4.186,0.15,0.15,0.559,0.31,0.31,,,,,,,,,,0.157,0.027,0.027,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,49,6.72,48,19,13.2,13.0,11.32,0.0863,0.01,2454958.97047,0.00275,8.129976,3.8e-05,2014ApJ...784...45R,0.36
