,Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag,Exposure Time for Half_Well,SNR (Half_Well),Cadence (Half_Well),Rank,Habitable_Rank,Multi_Transit_Rank,Multi_Transit_Habitable_Rank
17,CoRoT-16,5650,100.0,100.0,0.19,0.06,0.06,1.098,0.082,0.078,1.19,0.14,0.13,4.36,0.1,0.1,0.66,0.23,0.17,0.33,0.09,0.1,0.0618,0.0015,0.0015,0.535,0.085,0.083,1.17,0.16,0.14,,,,0.33,0.16,0.11,,,,2012A+A...541A.149O,2012A+A...541A.149O,TEP,18,34,5.93,-6,0,9.3,15.63,12.85,0.122,0.9,2454923.9138,0.0022,5.35227,0.0002,2012A+A...541A.149O,0.825,0.0102081886511897,16.127403938744298,15.070403938744295,14.709403938744297,13.812403938744296,16.312403938744296,14.667596061255704,13.108596061255705,13.418596061255704,0.0617778286002538,1195.7459170725183,,1.0,0.035888926898953,0.1010355811147227,11.167216151630122,0.9624039387442966,-0.9624039387442966,15.44701254574268,16.08991120392646,15.30781608709957,15.127570938744295,15.07273415117953,14.11244566102005,15.070403938744295,15.63,14.554219407488942,12.979298030627852,15.63,13.977916465646748,3.0456005098313415,5.913389260817868,3198.4459185981386,651.5183987666718,0.5448635780097413,281.6162283756767,0.23551510764522857
691,Kepler-538,5547,50.0,50.0,-0.03,0.08,0.08,0.892,0.051,0.035,0.8717,0.0064,0.0061,4.51,0.1,0.1,1.349,0.089,0.072,0.041,0.034,0.029,0.4669,0.0087,0.009,0.0333,0.0079,0.0075,0.1976,0.0036,0.003,,,,4.1,1.0,1.0,380.0,,,2016ApJ...822...86M,arXiv:1908.08585,TEP,19,49,56.85,49,37,24.4,11.27,9.65,0.276,0.05,2454962.94024,0.00074,81.73798,7.3e-05,arXiv:2103.03259,0.41,0.0005426385895263,11.896716951160188,10.790716951160189,10.417716951160187,9.471716951160188,12.139716951160189,11.448283048839812,9.816283048839813,10.145283048839811,0.3548221601555357,419.2466672508862,,3.0,31.58704625306804,0.0232946043007036,115.17553456760204,-0.1782830488398126,0.1782830488398126,12.171622723987532,11.65658542359075,11.006685525200416,10.838847951160188,10.77633240711874,9.818762088527654,10.790716951160189,11.27,10.269976269050009,9.733141524419906,11.27,9.685167980794292,2.334115795145667,22.597541818689447,9228.069440539826,645.6718686424036,1.5400763299473523,71.41672237055036,0.17034535501223927
1109,K2-035c,4680,60.0,60.0,0.04,0.04,0.04,0.76,0.04,0.04,0.72,0.04,0.04,4.56,0.01,0.01,,,,0.0,,,0.0564,0.0009,0.0009,,,,0.186,0.025,0.025,,,,,,,737.0,22.0,22.0,2016ApJ...827...78S,2016ApJ...827...78S,KTEP,11,20,24.74,1,17,9.4,14.37,11.42,0.085,0.2,2456812.1158,0.0049,5.60912,0.00071,2016ApJ...827...78S,0.472710948,0.0007047446412235,15.33363418470392,13.593634184703925,13.043634184703922,11.500634184703925,16.337634184703923,14.289365815296076,11.681365815296076,12.225365815296076,0.0563820508014566,806.4453922373466,,1.0,0.0318349515283946,0.0265470269752287,16.844185527526232,0.0806341847039231,-0.0806341847039231,15.918177391300196,15.027821989365318,13.888923857387976,13.508484184703924,13.332706982631382,12.414647224836022,13.593634184703925,14.37,13.002016507896796,11.55068290764804,14.37,12.57546842122505,2.9112926530842995,11.169736608010115,2323.10032822645,644.9369557724763,0.79972799396027,272.31395494504324,0.3376719088065642
1124,K2-058b,5413,255.0,255.0,,,,0.89,0.08,0.08,0.86,0.1,0.1,4.522,0.074,0.074,,,,,,,0.069,0.002,0.002,,,,0.239,0.033,0.033,,,,,,,,,,2016ApJS..226....7C,2016ApJS..226....7C,KTEP,22,15,17.24,-14,2,59.3,12.38,10.21,0.079,0.08,2456986.9763,0.0015,7.05254,0.00032,2016ApJS..226....7C,0.830858585214923,0.0008155860447376,13.070716951160188,11.870716951160189,11.473716951160188,10.432716951160188,13.428716951160188,12.157283048839814,10.383283048839813,10.748283048839811,0.0692309393792458,919.9631641364352,,1.0,-0.3335782835197257,0.0285584671286407,17.25257993170673,0.2227169511601872,-0.2227169511601872,13.51821272398755,12.793975423590748,12.094695525200418,11.900775951160188,11.82290289416537,10.870753914955696,11.870716951160189,12.38,11.34077005080705,10.296641524419908,12.38,10.780222915377225,2.591592752594452,18.398540722927827,2402.0331533320673,643.4360350804727,0.6994149985173188,242.28838802069063,0.26336748846691654
662,Kepler-432,5020,60.0,60.0,-0.02,0.06,0.06,1.32,0.1,0.07,4.06,0.12,0.08,3.345,0.028,0.022,0.0198,0.0004,0.0004,0.5134,0.0098,0.0089,0.301,0.016,0.011,5.41,0.32,0.18,1.145,0.036,0.039,96.0,11.0,11.0,3.36,0.28,0.22,942.0,20.0,20.0,2015A+A...573L...5C,2015ApJ...803...49Q,TEP,19,33,7.73,48,17,9.2,12.44,10.12,0.617,0.9,2455477.0291,0.0014,52.50097,0.00021,2015A+A...573L...5C,0.503,0.0008399042771301,13.246716951160188,11.866716951160187,11.424716951160187,10.198716951160188,13.846716951160188,12.36128304883981,10.305283048839811,10.737283048839812,0.3010066189896507,889.0209778341664,34.999670454501405,2.0,-0.0021989515290147,0.0289811020689371,15.942039127299225,0.0787169511601888,-0.0787169511601888,13.965604723987548,12.912407423590748,12.107783525200418,11.862890951160187,11.756222557377804,10.814184591510898,11.866716951160187,12.44,11.31916894871091,10.212641524419904,12.44,10.802530514197366,2.5554961190143737,19.043098459375344,19001.558989405567,641.624083134131,0.7217198459110112,88.55171831766711,0.09960588166704108
65,EPIC_248545986d,3420,18.0,18.0,,,,0.4,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,,,,0.0,,,,,,,,,0.098,0.009,0.009,,,,,,,399.0,18.0,15.0,arXiv:1806.01181,arXiv:1806.01181,TEP,10,42,22.63,4,26,28.9,13.55,9.97,0.0766,0.065,2457908.381,-1.0,10.115,0.001,arXiv:1806.01181,0.3720691319185025,0.000782560704626,14.987353628535114,12.364353628535111,11.023353628535114,8.843353628535114,16.168353628535115,14.676646371464887,10.328646371464888,10.907646371464889,0.0674430349575169,381.0150245608093,,1.0,,0.027974286490026,40.284503310774895,-1.1266463714648864,1.1266463714648864,15.391180213656188,14.71987526199428,12.907301334563076,11.683580628535116,11.00164539537449,10.246662500996376,12.364353628535111,13.55,11.36904042959627,10.149323185732444,13.55,11.12095339504513,2.4908826640130872,20.14543432703198,2414.6382064782906,639.4839367360876,1.6783693437633116,201.06973072368586,0.5277212649434393
1108,K2-035b,4680,60.0,60.0,0.04,0.04,0.04,0.76,0.04,0.04,0.72,0.04,0.04,4.56,0.01,0.01,,,,0.0,,,0.032,0.0005,0.0005,,,,0.125,0.015,0.015,,,,,,,979.0,29.0,29.0,2016ApJ...827...78S,2016ApJ...827...78S,KTEP,11,20,24.74,1,17,9.4,14.37,11.42,0.086,0.1,2456810.5871,0.0085,2.39984,0.00039,2016ApJ...827...78S,0.191393865,0.000318292144153,15.33363418470392,13.593634184703925,13.043634184703922,11.500634184703925,16.337634184703923,14.289365815296076,11.681365815296076,12.225365815296076,0.0320134568928523,1070.234908894452,,1.0,-0.0420351132256109,0.0178407439349655,9.556984696468785,0.0806341847039231,-0.0806341847039231,15.918177391300196,15.027821989365318,13.888923857387976,13.508484184703924,13.332706982631382,12.414647224836022,13.593634184703925,14.37,13.002016507896796,11.55068290764804,14.37,12.57546842122505,2.9112926530842995,11.169736608010115,2350.4309203232315,638.6279802441674,0.5967175756805271,412.24633042467076,0.3851923787932869
441,Kepler-017,5781,85.0,85.0,0.26,0.1,0.1,1.066,0.05,0.161,0.983,0.019,0.05,4.481,0.007,0.024,1.121,0.015,0.034,0.0,,,0.02605,0.00041,0.00133,2.34,0.089,0.244,1.31,0.024,0.067,33.82,0.85,1.01,0.974,0.057,0.039,1712.0,26.0,25.0,2011ApJS..197...14D,2012MNRAS.426.1291S,TEP,19,53,34.86,47,48,54.0,14.3,12.59,0.09485,2.0,2455185.678033,2.3e-05,1.48571091,2.1e-07,2013A+A...560A.112M,0.268,0.0187545411146773,14.815835624987717,13.802835624987717,13.452835624987715,12.601835624987716,14.948835624987716,14.288164375012284,12.797164375012285,13.090164375012284,0.0260304570418509,1713.058244510949,180.5570466896124,3.0,0.0750772762751912,0.1369472201787144,5.698461500730179,0.0118356249877162,-0.0118356249877162,14.491051363537643,14.702911074386217,14.023578513115996,13.868285624987717,13.820487697526575,12.857703160431672,13.802835624987717,14.3,13.290800159117143,12.69358218750614,14.3,12.691547681861708,3.0317509844304547,6.650384627742199,2497.1547319950737,637.0019368108397,0.371850717190701,522.605043382626,0.30507138041405096
1866,Kepler-396c,5579,100.0,100.0,0.1,0.1,0.1,0.979,,,0.986,0.157,0.157,4.444,0.15,0.15,1.441,0.448,0.448,,,,0.374,0.01,0.01,,0.057,0.0,0.439,0.07,0.07,,,,,,,425.0,60.0,60.0,2013ApJ...778..110M,2014ApJ...784...45R,KTEP,19,44,31.87,48,58,38.6,12.08,10.28,0.286,0.26,2455015.6423,0.00084,88.519806,0.00013,2014ApJ...784...45R,0.6389530277009808,0.0020933704880527,12.697716951160189,11.605716951160188,11.235716951160189,10.302716951160187,12.924716951160187,12.057283048839812,10.445283048839812,10.769283048839812,0.3859766654625405,429.9793430140548,,2.0,-3.102950653296126,0.045753365865833,81.56392111641462,0.0227169511601879,-0.0227169511601879,12.95171486684469,12.462020423590747,11.820350525200418,11.656106951160186,11.595511096237908,10.637261703390624,11.605716951160188,12.08,11.086118235890446,10.362641524419908,12.08,10.497535389444396,2.6183116931476578,17.906498580553716,8614.963310658557,632.828000091467,1.4717637262652907,67.26133144518391,0.1564292158169685
1131,K2-062c,4880,216.0,216.0,,,,0.77,0.05,0.05,0.73,0.05,0.05,4.604,0.037,0.037,,,,,,,0.115,0.002,0.002,,,,0.191,0.019,0.019,,,,,,,,,,2016ApJS..226....7C,2016ApJS..226....7C,KTEP,22,17,27.4,-12,11,15.0,12.4,9.68,0.054,0.07,2456991.5442,0.0024,16.1966,0.0012,2016ApJS..226....7C,0.96369724459126,0.0007229227648867,13.303716951160188,11.769716951160188,11.288716951160188,9.903716951160188,14.104716951160189,12.176283048839812,9.876283048839811,10.366283048839811,0.1148292856647731,593.3189484008886,,1.0,0.1486679414912074,0.0268872230787558,33.87492863303148,0.2237169511601884,-0.2237169511601884,14.234554295416114,12.92444842359075,12.026002525200418,11.736523951160189,11.604899598828585,10.671567433085391,11.769716951160188,12.4,11.206553947906029,9.778141524419905,12.4,10.724011735172226,2.349905197287268,22.36274805274331,1794.526971548067,630.7840172209106,1.0631449053177853,156.73599753735695,0.2641681981669241
1058,WASP-158,6350,150.0,150.0,0.24,0.1,0.1,1.38,0.14,0.14,1.39,0.18,0.18,4.3,0.05,0.11,0.53,0.08,0.17,0.0,0.16,0.0,0.0517,0.0018,0.0018,2.79,0.23,0.23,1.07,0.15,0.15,56.0,8.0,15.0,2.3,0.5,0.9,1590.0,80.0,80.0,arXiv:1803.02224,arXiv:1803.02224,TEP,0,16,35.12,-10,58,35.1,12.05,10.88,0.149,0.6,2457619.9195,0.001,3.656333,4e-06,arXiv:1803.02224,0.32,0.0062576150271596,12.447716951160189,11.687716951160189,11.410716951160188,10.778716951160188,12.426716951160188,12.151283048839812,11.023283048839811,11.222283048839811,0.0517126397046353,1587.5085377993362,101.2729317973744,1.0,-0.0244421957716929,0.0791050885035826,7.997958595803823,-0.1012830488398126,0.1012830488398126,12.146636009701831,12.329764423590747,11.872446525200418,11.808135951160189,11.807050458932206,10.827595047887376,11.687716951160189,12.05,11.202556855817267,10.951641524419909,12.05,10.515404813187818,2.802511914639531,14.053151681898,4217.379115953502,616.538775160841,0.38836879328882856,322.4315449446071,0.20310539267497335
311,K2-032e,5271,39.0,35.0,-0.06,0.03,0.03,0.83,0.02,0.02,0.86,0.02,0.02,4.49,0.03,0.03,1.3,0.13,0.1,0.043,0.048,0.03,0.04899,0.00041,0.00038,0.0066,0.0041,0.0034,0.1081,0.0046,0.0041,,,,4.7,3.1,2.6,1066.0,16.0,18.0,arXiv:1904.00651,arXiv:2006.01102,TEP,16,49,42.26,-19,32,34.2,12.31,9.82,0.1113,0.02,2456898.8786,0.004,4.34934,3.9e-05,arXiv:2006.01102,0.22,0.000166849677706,13.03971695116019,11.780716951160189,11.370716951160189,10.270716951160187,13.475716951160187,11.859283048839812,9.997283048839812,10.384283048839812,0.0490058718921815,1064.7593917343636,,2.0,-0.0323877355278817,0.0129170305297324,12.24933175151178,0.4507169511601887,-0.4507169511601887,13.584987009701836,12.74223542359075,12.01003552520042,11.800986951160189,11.71479524131563,10.765574460752498,11.780716951160189,12.31,11.245730881353792,9.908641524419906,12.31,10.699704969492096,2.4206121787760546,21.279558199333724,3600.7923862637267,615.6896772969277,0.5782430115916087,295.22300244460394,0.27726733827040645
64,EPIC_248545986c,3420,18.0,18.0,,,,0.4,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,,,,0.0,,,,,,,,,0.089,0.009,0.009,,,,,,,427.0,24.0,19.0,arXiv:1806.01181,arXiv:1806.01181,TEP,10,42,22.63,4,26,28.9,13.55,9.97,0.052,0.058,2457916.86,-1.0,7.775,0.001,arXiv:1806.01181,0.7398044257644089,0.000645425170902,14.987353628535114,12.364353628535111,11.023353628535114,8.843353628535114,16.168353628535115,14.676646371464887,10.328646371464888,10.907646371464889,0.0565926606692746,415.9399143109679,,1.0,,0.0254052193633909,33.8034494967943,-1.1266463714648864,1.1266463714648864,15.391180213656188,14.71987526199428,12.907301334563076,11.683580628535116,11.00164539537449,10.246662500996376,12.364353628535111,13.55,11.36904042959627,10.149323185732444,13.55,11.12095339504513,2.4908826640130872,20.14543432703198,1639.1799835100667,614.3604243423363,1.477041282176694,220.32969478692547,0.5297151997348373
513,Kepler-065d,6211,66.0,66.0,0.17,0.06,0.06,1.248,0.018,0.021,1.437,0.032,0.027,4.232,0.006,0.006,0.44,0.008,0.008,0.014,0.016,0.01,0.084,0.006,0.002,0.013,0.003,0.003,0.136,0.004,0.004,,,,4.3,0.9,0.9,,,,2013ApJ...766..101C,arXiv:1903.07186,TEP,19,14,45.29,41,9,4.3,11.1,9.81,0.171,0.011,2455702.80285,0.0004,8.13167,0.00023,arXiv:1903.07186,0.53,9.458780930681046e-05,11.523716951160187,10.723716951160188,10.434716951160189,9.769716951160188,11.511716951160189,11.140283048839812,9.956283048839811,10.169283048839812,0.0852048944024786,1229.9598642038843,,2.0,-1.4141140728220667,0.0097256264223344,12.569729350261658,-0.0402830488398127,0.0402830488398127,11.28494943827326,11.392546423590748,10.912184525200418,10.835099951160188,10.826335702455523,9.84963336863432,10.723716951160188,11.1,10.234217240771155,9.883141524419909,11.1,9.55966524234632,2.4157252931809556,21.356189864577317,5542.356535309012,604.4672544751918,0.4914528287201023,211.974151791166,0.17234233242917277
1139,K2-072b,3497,150.0,150.0,,,,0.217,0.081,0.081,0.232,0.056,0.056,5.048,0.075,0.075,,,,,,,0.037,0.005,0.005,,,,0.067,0.018,0.018,,,,,,,,,,2016ApJS..226....7C,2016ApJS..226....7C,KTEP,22,18,29.27,-9,36,44.6,15.31,10.96,0.07,0.09,2457010.3766,0.0025,5.57739,0.00068,2016ApJS..226....7C,0.386660514,0.0008807335133856,16.660961500234205,14.097961500234202,12.832961500234203,10.708961500234205,17.835961500234205,15.561038499765798,11.3750384997658,11.9640384997658,0.0369868293873054,422.3275087538142,,1.0,0.0356089259683769,0.0296771547387151,34.293921378492506,-0.2510384997657979,0.2510384997657979,16.48133214175886,16.51724651566837,14.661231145053868,13.474416500234202,12.841113391425916,12.07142578208471,14.097961500234202,15.31,13.147620103184282,11.1675192498829,15.31,12.89483558181987,2.821623319210001,13.590940711910415,1968.9914326980374,602.5737350198586,1.4267925307491982,255.14948195067979,0.6041507518739755
230,HATS-77,4071,13.0,13.0,0.253,0.039,0.039,0.655,0.014,0.014,0.6428,0.0066,0.0066,4.638,0.014,0.014,2.47,0.12,0.09,0.0,0.045,0.0,0.03607,0.00025,0.00025,1.374,0.1,0.074,1.165,0.021,0.021,25.0,2.3,1.6,0.812,0.084,0.061,828.0,6.0,6.0,arXiv:2112.01928,arXiv:2112.01928,TEP,9,59,17.66,-27,23,34.1,16.35,12.93,0.09282,3.5,2459136.69378,0.0002,3.0876262,1.6e-06,arXiv:2112.01928,0.328,0.0346873403180376,17.480986655338793,15.314986655338794,14.560986655338796,12.722986655338795,18.702986655338798,16.557013344661208,13.308013344661209,13.932013344661208,0.0360387812119943,829.0625285700359,118.13391953662028,1.0,0.0866255377006758,0.1862453766353345,12.06628788898048,-0.2070133446612061,0.2070133446612043,17.446051806317538,17.30657889604027,15.741946930727924,15.076224655338796,14.76990859316263,13.896024907562488,15.314986655338794,16.35,14.632959417762194,13.119006672330602,16.35,14.298643007413451,3.0492574101900827,5.702916908338543,2430.7433470424357,596.2291521408638,0.7191606562767197,339.31327266849,0.4092734395483249
1115,K2-045,4103,90.0,90.0,,,,0.503,0.078,0.078,0.445,0.066,0.066,4.824,0.07,0.07,,,,,,,0.022,0.001,0.001,,,,0.599,0.0,0.0,,,,,,,,,,2016ApJS..226....7C,2016ApJS..226....7C,KTEP,11,18,31.89,-1,46,26.9,15.78,12.75,0.07,1.89,2456809.52604,0.00018,1.729268,7e-06,2016ApJS..226....7C,0.5,0.0191339444812804,16.931900338034815,14.765900338034816,14.011900338034817,12.173900338034814,18.153900338034816,16.356099661965185,13.107099661965185,13.731099661965184,0.0224235334389822,881.3791975089631,,1.0,-1.88878991856816,0.1383255019194958,10.630803201689996,-0.5760996619651859,0.5760996619651859,17.13516635958335,16.7069651213427,15.176757077748007,14.527138338034815,14.22082227585865,13.346938590258508,14.765900338034816,15.78,14.083873100458216,12.928549830982591,15.78,13.746369268388658,3.0406477141303885,6.1870418421347315,1837.9360312649849,591.4271448313469,0.6710246242512802,449.748890926385,0.5102785409475372
1436,Kepler-210c,4559,100.0,100.0,0.07,0.1,0.1,0.709,,,0.65,0.033,0.033,4.663,0.15,0.15,3.642,0.403,0.403,,,,,,,,,,0.323,0.017,0.017,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,30,0.81,43,4,59.3,14.2,11.31,0.1209,0.32,2455004.58436,0.0002,7.972513,3e-06,2014ApJ...784...45R,0.4,0.0026076495093464,15.16968814548435,13.42968814548435,12.879688145484351,11.33668814548435,16.173688145484352,14.17331185451565,11.565311854515649,12.10931185451565,0.0696442746238644,671.6095433016852,,1.0,,0.0510651496555765,23.03962846535568,0.0266881454843499,-0.0266881454843499,15.808828564953156,14.852294723172786,13.72336141064003,13.344538145484352,13.168760943411812,12.250701185616451,13.42968814548435,14.2,12.838070468677223,11.437655927257826,14.2,12.410360382600228,2.89271342938335,11.71258365835536,3323.8028966737907,590.900701921973,0.8798277329667753,209.27477700464317,0.3116018512420654
355,K2-137,3492,70.0,70.0,0.08,0.12,0.12,0.463,0.052,0.052,0.442,0.044,0.044,4.815,0.043,0.043,,,,0.0,,,0.0058,0.0006,0.0006,,0.7,0.0,0.079,0.008,0.008,,,,,,,1471.0,47.0,47.0,2018MNRAS.474.5523S,2018MNRAS.474.5523S,TEP,12,27,28.97,-6,11,42.8,15.5,10.88,0.0262,0.035,2457583.0242,0.0004,0.179715,1e-06,2018MNRAS.474.5523S,0.02,0.000337349857121,16.843806819311876,14.28080681931188,13.015806819311878,10.89180681931188,18.01880681931188,15.48819318068812,11.30219318068812,11.891193180688122,0.0048215839421451,1612.218133122661,,1.0,20.292419868553868,0.0183670862447211,2.821688920563747,0.0118068193118787,-0.0118068193118787,16.582687689325788,16.71737754385438,14.849585568441732,13.65726181931188,13.023958710503589,12.254271101162384,14.28080681931188,15.5,13.330465422261955,11.091096590344062,15.5,13.078452245797656,2.802511914639531,14.053151681898,741.579415020012,588.9905966593533,0.3653293462954382,1389.3644991324152,0.8617720335655782
491,Kepler-048c,5194,73.0,73.0,0.17,0.07,0.07,0.88,0.06,0.06,0.89,0.05,0.05,4.487,0.05,0.05,1.4,0.09,0.09,0.0,,,,,,0.046,0.007,0.007,0.242,0.012,0.012,,,,3.02,0.69,0.69,,,,2013ApJS..208...22X,2014ApJS..210...20M,TEP,19,56,33.41,40,56,56.5,13.28,11.22,0.1459,0.11,2454958.3416,0.00067,9.6739431,7.5e-07,2016ApJS..225....9H,0.38,0.0007807672808894,14.030260109812176,12.723260109812175,12.300260109812177,11.149260109812175,14.532260109812176,13.350739890187825,11.410739890187823,11.815739890187825,0.0851470802033718,809.7395768929564,,3.0,,0.0279422132425025,20.572314837285457,-0.0707398901878253,0.0707398901878253,14.554198320145442,13.737303519741484,12.959909660492324,12.733741109812176,12.639230747117876,11.692932285263373,12.723260109812175,13.28,12.183197873142912,11.315369945093911,13.28,11.651408785973366,2.876248625791522,12.173436987747973,4032.2320803286716,584.1930146542635,0.7214578999532968,187.82551805851622,0.2319579324246687
14,CoRoT-12,5675,80.0,80.0,0.16,0.1,0.1,1.0,0.1,0.1,1.049,0.049,0.047,4.396,0.032,0.03,0.866,0.084,0.078,0.0,,,0.0392,0.0013,0.0013,0.873,0.081,0.078,1.344,0.074,0.071,12.0,1.4,1.2,0.337,0.064,0.062,1417.0,20.0,20.0,2010A+A...520A..97G,arXiv:1812.01536,TEP,6,43,3.76,-1,17,47.1,15.52,13.56,0.10726,1.9,2454398.62771,0.00024,2.82805268,6.5e-07,arXiv:1812.01536,0.609,0.0173347845275633,16.01525645924093,14.96725645924093,14.60825645924093,13.72025645924093,16.19025645924093,15.35974354075907,13.813743540759068,14.120743540759069,0.0391379595742726,1416.7323722643737,421.1849939195625,2.0,0.1585172717284678,0.1316616289112488,8.035520021244489,0.1602564592409301,-0.1602564592409301,15.354235461443896,15.973654852713029,15.202838984623602,15.025929459240931,14.972372464422277,14.011630459774109,14.96725645924093,15.52,14.451828251321396,13.686871770379534,15.52,13.872249421563822,3.0704837421772972,4.281573473574678,2790.9379233771815,583.115998031868,0.41159220290835147,346.7457998064599,0.2447503894135303
1112,K2-037d,5413,60.0,60.0,-0.03,0.04,0.04,0.9,0.05,0.05,0.85,0.04,0.04,4.52,0.07,0.07,,,,0.0,,,0.1103,0.0018,0.0018,,,,0.244,0.032,0.032,,,,,,,663.0,22.0,22.0,2016ApJ...827...78S,2016ApJ...827...78S,KTEP,16,13,48.24,-24,47,13.4,12.52,10.14,0.12,0.08,2456907.2315,0.0031,14.09189,0.00135,2016ApJ...827...78S,0.76,0.0008701871943114,13.210716951160189,12.010716951160187,11.613716951160187,10.572716951160189,13.568716951160187,12.087283048839812,10.313283048839812,10.678283048839813,0.110238556138608,724.7930655507879,,1.0,0.0557371790272158,0.0294989354775976,27.903584435836944,0.4327169511601862,-0.4327169511601862,13.658212723987546,12.933975423590748,12.234695525200417,12.040775951160189,11.962902894165367,11.010753914955696,12.010716951160187,12.52,11.480770050807047,10.226641524419907,12.52,10.920222915377224,2.5636889608620668,18.898732011594745,3684.8422637388535,579.7958976935263,0.7999468058554411,154.45092584022308,0.21309658326111608
1158,K2-088,3537,93.0,93.0,,,,0.258,0.066,0.066,0.256,0.049,0.049,5.022,0.067,0.067,,,,,,,0.034,0.003,0.003,,,,0.11,0.022,0.022,,,,,,,,,,2016ApJS..226....7C,2016ApJS..226....7C,KTEP,3,39,0.38,19,7,12.6,15.48,11.24,0.043,0.19,2457066.2194,0.0015,4.6122,0.00018,2016ApJS..226....7C,0.6253861136996467,0.0019497383155272,16.802907539453773,14.301907539453776,13.129907539453775,11.062907539453777,17.97290753945377,15.657092460546226,11.651092460546224,12.251092460546223,0.0345211435075242,464.4572577502397,,1.0,-1.5096357031470993,0.0441558412390398,28.55895817499461,-0.1770924605462251,0.1770924605462251,16.71762815453528,16.639178924133454,14.839038734074368,13.748391539453776,13.174598793339785,12.386637955834953,14.301907539453776,15.48,13.40483700892778,11.445546230273113,15.48,13.13904383209458,2.8800097215453997,12.069713931847698,1186.9611696176044,574.8444753328611,1.2376692704024483,267.667902740946,0.5763025515792101
569,Kepler-102c,4903,74.0,74.0,0.08,0.07,0.07,0.8,0.06,0.06,0.74,0.02,0.02,4.607,0.03,0.03,1.96,0.06,0.06,0.0,,,,,,,0.009,0.0,0.052,0.002,0.002,,,,,,,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,18,45,55.85,47,12,28.9,11.77,9.35,0.136,0.008,2454958.8345,0.0054,7.0714567,6e-06,2016ApJS..225....9H,0.06,5.21451756222881e-05,12.673716951160188,11.139716951160189,10.658716951160187,9.273716951160187,13.474716951160188,11.846283048839812,9.546283048839811,10.036283048839811,0.066933330734102,786.12178660044,,2.0,,0.0072211616532444,19.4497545864374,-0.0762830488398123,0.0762830488398123,13.604554295416111,12.29444842359075,11.396002525200418,11.106523951160186,10.974899598828582,10.041567433085392,11.139716951160189,11.77,10.576553947906028,9.448141524419906,11.77,10.094011735172227,2.1642921762327623,24.983768367133354,4867.016559004557,570.6395741271617,0.7258920740447549,214.58899394631274,0.2729716916691704
42,EPIC_211682544,5372,73.0,73.0,-0.08,0.05,0.05,0.88,0.03,0.03,0.85,0.02,0.02,4.45,0.1,0.1,1.43,0.11,0.11,0.0,0.14,0.0,0.2573,0.0029,0.0029,0.0466,0.0098,0.0098,0.215,0.011,0.011,25.1,6.5,5.6,4.3,1.2,1.1,470.0,10.0,10.0,arXiv:1808.08187,arXiv:1808.08187,TEP,8,38,43.78,15,40,50.4,11.61,9.75,0.1453,0.06,2458111.1274,0.0012,50.818947,9.4e-05,arXiv:1808.08187,0.8431392707560939,0.0006756316020063,12.300716951160188,11.100716951160187,10.703716951160189,9.662716951160188,12.658716951160187,11.697283048839813,9.923283048839812,10.288283048839812,0.2573067517511126,470.8181250938949,66.78953531551514,1.0,-0.0026240085293892,0.0259929144577192,65.09149841650812,-0.0872830488398133,0.0872830488398133,12.748212723987546,12.023975423590748,11.324695525200417,11.130775951160189,11.052902894165369,10.100753914955694,11.100716951160187,11.61,10.570770050807049,9.836641524419909,11.61,10.010222915377224,2.385874251947109,21.81844399393466,4762.715820273474,568.0185749116517,1.2064501017210676,79.68006999692837,0.16923747355953606
