System       , Teff , eup , edn , [Fe/H], eup  , edn  ,    K_A ,  eup ,  edn ,   i    , eup   , edn   ,  r_a    , errup   , errdown ,  r_b     , errup    , errdown  , light_curve_ref     , Overall_reference
OGLE-TR-056  , 6119 ,  62 ,  62 , +0.25 , 0.08 , 0.08 ,    212 ,   22 ,   22 , 73.47  , 0.37  , 0.37  , 0.3292  , 0.0048  , 0.0048  , 0.03378  , 0.00059  , 0.00059  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
OGLE-TR-111  , 5044 ,  83 ,  83 , +0.19 , 0.07 , 0.07 ,     78 ,   14 ,   14 , 88.50  , 0.35  , 0.35  , 0.0817  , 0.0018  , 0.0018  , 0.01033  , 0.00030  , 0.00030  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
OGLE-TR-113  , 4790 ,  75 ,  75 , +0.09 , 0.08 , 0.08 ,    267 ,   34 ,   34 , 87.80  , 0.86  , 0.86  , 0.1572  , 0.0020  , 0.0020  , 0.02296  , 0.00039  , 0.00039  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
OGLE-TR-132  , 6210 ,  59 ,  59 , +0.37 , 0.07 , 0.07 ,    167 ,   18 ,   18 , 83.83  , 0.96  , 0.96  , 0.2056  , 0.0078  , 0.0078  , 0.01941  , 0.00096  , 0.00096  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
OGLE-TR-182  , 5924 ,  64 ,  64 , +0.37 , 0.08 , 0.08 ,    120 ,   17 ,   17 , 84.3   , 1.2   , 1.2   , 0.137   , 0.014   , 0.014   , 0.0135   , 0.0013   , 0.0013   , 2010MNRAS.408.1689S , 2010MNRAS.408.1689S
OGLE-TR-211  , 6325 ,  91 ,  91 , +0.11 , 0.10 , 0.10 ,     82 ,   16 ,   16 , 88.0   , 2.0   , 2.0   , 0.1422  , 0.0150  , 0.0083  , 0.01181  , 0.00146  , 0.00083  , 2010MNRAS.408.1689S , 2010MNRAS.408.1689S
OGLE-TR-L9   , 6933 ,  58 ,  58 , -0.05 , 0.20 , 0.20 ,    510 ,  170 ,  170 , 82.19  , 0.21  , 0.21  , 0.1722  , 0.0025  , 0.0025  , 0.01928  , 0.00028  , 0.00028  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
TrES-1       , 5226 ,  50 ,  50 , +0.06 , 0.05 , 0.05 ,  115.2 ,  6.2 ,  6.2 , 88.67  , 0.71  , 0.71  , 0.0964  , 0.0018  , 0.0018  , 0.01331  , 0.00035  , 0.00035  , 2008MNRAS.386.1644S , 2010MNRAS.408.1689S
TrES-2       , 5850 ,  50 ,  50 , -0.15 , 0.10 , 0.10 ,  181.3 ,  2.6 ,  2.6 , 83.925 , 0.030 , 0.030 , 0.12568 , 0.00041 , 0.00041 , 0.015979 , 0.000027 , 0.000027 , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
TrES-3       , 5650 ,  75 ,  75 , -0.19 , 0.08 , 0.08 ,    369 ,   11 ,   11 , 81.93  , 0.13  , 0.13  , 0.1682  , 0.0014  , 0.0014  , 0.02750  , 0.00035  , 0.00035  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
