AERONET_Site,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Month,440-870_Angstrom_Exponent,440-675_Angstrom_Exponent,340-440_Angstrom_Exponent,AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Scattering_AOD[440nm],Scattering_AOD[675nm],Scattering_AOD[870nm],Scattering_AOD[1020nm],Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Total[675nm],Asymmetry_Factor-Total[870nm],Asymmetry_Factor-Total[1020nm],count
ARM_Darwin,-12.425,130.891,29.9,6,1.354207,1.620801,1.548296,0.14922,0.0791,0.056687,0.0464,0.02257775,0.014082313,0.011940087,0.010789685,0.125723113,0.062910982,0.043730996,0.034546611,0.641539,0.583924,0.595376,0.61525,85
ARM_Darwin,-12.425,130.891,29.9,7,1.319517,1.521876,1.4708175,0.14971,0.0816415,0.05915,0.0519695,0.02265189,0.014534781,0.012458873,0.012084796,0.126124546,0.066168442,0.045783353,0.039232744,0.648167,0.6047985,0.6143165,0.6356915,86
ARM_Darwin,-12.425,130.891,29.9,8,1.38447,1.539107,1.415065,0.177533,0.095657,0.070467,0.06016,0.026861652,0.017029985,0.014851862,0.014099374,0.149455168,0.076535928,0.054966073,0.045527481,0.648972,0.599449,0.607829,0.628691,99
ARM_Darwin,-12.425,130.891,29.9,9,1.359778,1.473285,1.290737,0.237571,0.1282,0.096057,0.081825,0.03566761,0.022196111,0.019616775,0.018637785,0.201625291,0.105376327,0.075824337,0.062797717,0.671381,0.61567,0.619451,0.633509,75
ARM_Darwin,-12.425,130.891,29.9,10,1.289345,1.412004,1.308252,0.302257,0.16894,0.128775,0.111025,0.042478913,0.026775978,0.023959372,0.023127,0.256523968,0.138863312,0.101286,0.085207657,0.674892,0.622369,0.627204,0.644234,89
ARM_Darwin,-12.425,130.891,29.9,11,1.309365,1.406089,1.349732,0.2543,0.14746,0.1147,0.099075,0.036963841,0.025009,0.022333,0.022052115,0.215823107,0.12017,0.092158733,0.074489,0.678044,0.634926,0.636871,0.652321,37
ARM_Darwin,-12.425,130.891,29.9,12,1.3062285,1.4617245,1.3417165,0.1552,0.1018125,0.0864,0.076096,0.023482555,0.01812586,0.018198591,0.017695083,0.131717445,0.08368664,0.068201409,0.058400917,0.6877345,0.656805,0.650142,0.6625445,12
ARM_Graciosa,39.09109,-28.02917,15.2,1,0.261461,0.363852,-0.037234,0.0701,0.0594,0.057,0.0558,0.003186395,0.002182806,0.003081764,0.003505388,0.066913605,0.057217194,0.053918236,0.052294612,0.756337,0.739286,0.754364,0.759509,37
ARM_Graciosa,39.09109,-28.02917,15.2,2,0.309642,0.3958905,0.0180805,0.0803,0.0652,0.06106,0.05897,0.003650035,0.002395942,0.003301272,0.003622863,0.076649965,0.062804058,0.057758728,0.05526547,0.755706,0.7481595,0.7646365,0.7635785,40
ARM_Graciosa,39.09109,-28.02917,15.2,3,0.306289,0.374675,0.159119,0.071,0.0602,0.055,0.0537,0.003227304,0.002212204,0.002973632,0.003257247,0.067772696,0.057987796,0.052026368,0.050326535,0.748024,0.744791,0.748956,0.746556,25
ARM_Graciosa,39.09109,-28.02917,15.2,4,0.482508,0.611811,0.3389,0.0935775,0.0719,0.067675,0.065925,0.004253564,0.002642151,0.003658919,0.004141447,0.089323936,0.069257849,0.064016081,0.061783553,0.730502,0.719117,0.730498,0.739201,38
ARM_Graciosa,39.09109,-28.02917,15.2,5,0.671841,0.852394,0.55569,0.0933,0.0703,0.0622,0.05935,0.00424095,0.002583355,0.003314248,0.003656158,0.08905905,0.067716645,0.058837093,0.055621599,0.721802,0.708969,0.727527,0.727924,53
ARM_Graciosa,39.09109,-28.02917,15.2,6,0.9064415,1.085603,0.7400815,0.07915,0.0523835,0.0424665,0.039325,0.00357958,0.001898012,0.002257257,0.002423084,0.075552238,0.050458533,0.040170505,0.036854581,0.706632,0.6734935,0.682469,0.6937595,70
ARM_Graciosa,39.09109,-28.02917,15.2,7,1.016868,1.1641205,0.7124005,0.08883,0.0557,0.0438,0.039475,0.003934129,0.00204684,0.002315837,0.002426979,0.084792234,0.05365316,0.041431908,0.036995158,0.705287,0.6653965,0.677407,0.6845765,72
ARM_Graciosa,39.09109,-28.02917,15.2,8,0.790297,0.908422,0.510971,0.0911,0.0617,0.0504,0.0465,0.004140949,0.002267325,0.002724928,0.002921157,0.086959051,0.059432675,0.047675072,0.043578843,0.712538,0.687926,0.694265,0.705204,83
ARM_Graciosa,39.09109,-28.02917,15.2,9,0.7207055,0.888445,0.5797665,0.0772,0.054975,0.0459375,0.0427335,0.003509125,0.002020198,0.002483658,0.002684543,0.073690875,0.052954802,0.043453842,0.040048957,0.723752,0.710732,0.71931,0.7235125,66
ARM_Graciosa,39.09109,-28.02917,15.2,10,0.5020675,0.586431,0.3410635,0.0666665,0.0542,0.05165,0.0503,0.003030325,0.001991719,0.00279251,0.003159875,0.063636175,0.052208281,0.04885749,0.047140125,0.75409,0.7396485,0.748383,0.7537145,48
ARM_Graciosa,39.09109,-28.02917,15.2,11,0.397922,0.533693,0.24265,0.0542,0.0441,0.03795,0.035033,0.00246366,0.001620568,0.002051806,0.002200793,0.05173634,0.042479432,0.035898194,0.032832207,0.75604,0.742037,0.750909,0.754083,39
