,TOI,Planet,TESS_tid,TOI_alias,No. of Planets,TFOPWG_Des,rastr,RA,decstr,Dec,PMRA,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,PMDec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,T0 (HJD or BJD),T0_err,P (day),P_err,T14_hr,T14,T14_hr_err,T14_err,Depth (ppm),Depth,Depth (ppm)_err,Depth_err,Rp_EarthRadii,Rp,Rp_EarthRadii_err,Rp_err,Mp,Mp_err_up,Mp_err_dn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,Teq,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,Tmag,Tmag_err,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,Teff,Teff_err_up,Teff_err_dn,logg*,logg*_err_up,logg*_err_dn,R*,R*_err_up,R*_err_dn,M*,toi_created,rowupdate
982,937.01,937,425163745,425163745.01,1,FP,03h55m35.24s,58.896843,-02d30m21.41s,-2.505947,17.492,2.958,2.958,0,1,-9.279,2.251,2.251,0,1,2458438.55668,0.00035,0.27664,1E-05,0.72,0.03,0.012,0.0005,15669.3,1.56693,749.859,0.0749859,24.4651,2.18263002944063,5.82969,0.520090106164689,,,,15418.8,,,,,3104,,,,,10.819,0.018,294.7308,42.110298,42.110298,0,1,6082,193,193,4.0929098,0.471657,0.471657,1.5886199,0.358565,0.358565,2.94473801653171,2019-02-04 20:26:41,2019-08-21 02:26:58
983,938.01,938,332660150,332660150.01,1,,04h12m07.76s,63.032345,-12d07m07.8s,-12.118834,-4.971,1.278,1.278,0,1,-10.231,0.879,0.879,0,1,2458445.17941,0.00413,8.80874,0.00326,4.283,0.178458333333333,0.355,0.014791666666667,1356.21,0.135621,1.78977,0.000178977,4.25181,0.379321081273976,0.250439,0.022342671067892,,,,190.748,,,,,1035,,,,,10.831,0.019,232.53856,29.559,29.559,0,1,6004,192,192,4.38836,0.451143,0.451143,1.1151201,0.241338,0.241338,1.28948759756,2019-02-04 20:26:38,2019-08-16 12:00:13
984,939.01,939,67772767,67772767.01,1,,04h15m08.84s,63.78684,-07d18m56.69s,-7.315746,2.857,2.384,2.384,0,1,-15.347,0.906,0.906,0,1,2458445.9033,0.00097,7.61177,0.0007,4.354,0.181416666666667,0.387,0.016125,5410.79,0.541079,1.7815,0.00017815,11.3073,1.00876973860291,1.54828,0.138128289767151,,,,369.963,,,,,1221,,,,,10.904,0.019,341.48401,64.159698,64.159698,0,1,6159.5,83,83,4,0.16,0.16,1.86708,0.426075,0.426075,4.29253155079317,2019-02-04 20:26:41,2019-08-16 12:00:13
985,940.01,940,248434716,248434716.01,1,,05h09m36.86s,77.403594,-05d40m15.51s,-5.670975,-7.9,3.9,3.9,0,1,32.3,4.1,4.1,0,1,2458438.30726,0.00146,0.7395,0.00011,0.322,0.013416666666667,0.094,0.003916666666667,9605.5,0.96055,1630.9,0.16309,9.17263,0.818327237041663,3.8012,0.339120349718976,,,,404.769,,,,,1249,,,,,10.904,0.02,,,,0,1,,,,,,,,,,0,2019-02-04 20:26:37,2019-07-31 10:32:40
986,941.01,941,408137826,408137826.01,1,,05h13m12.13s,78.300523,+06d32m45.31s,6.545919,16.5,2.3,2.3,0,1,-35.7,2.3,2.3,0,1,2458440.48083,0.00311,8.51179,0.00397,3.835,0.159791666666667,0.321,0.013375,2813.62,0.281362,3.06181,0.000306181,7.40752,0.66085467035418,0.582054,0.051927379784102,,,,140.227,,,,,958,,,,,10.953,0.018,278.16599,,,0,1,5865,190,190,4.3291998,2.00354,2.00354,1.16795,1.16795,1.16795,1.43655828888538,2019-02-04 20:26:41,2019-07-31 10:32:40
987,942.01,942,146520535,146520535.01,1,,05h06m35.91s,76.649615,-20d14m44.2s,-20.245612,14.92,1.03,1.03,0,1,-4.605,0.635,0.635,0,1,2458441.57167,0.00496,4.32765,0.00173,3.181,0.132541666666667,0.479,0.019958333333333,1236.39,0.123639,2.59497,0.000259497,3.51329,0.313434739941119,0.178947,0.015964582032296,,,,257.006,,,,,1115,,,,,10.991,0.018,155.58118,6.6360798,6.6360798,0,1,4829,178,178,4.3361802,0.345801,0.345801,0.995514,0.161815,0.161815,0.989563955356415,2019-02-04 20:26:41,2019-08-06 12:00:14
988,943.01,943,399871011,399871011.01,1,,04h58m13.23s,74.555144,+08d58m50.97s,8.980826,2.195,0.988,0.988,0,1,-6.702,0.728,0.728,0,1,2458444.27026,0.00106,12.35611,0.00083,5.963,0.248458333333333,0.521,0.021708333333333,7137.37,0.713737,1.93969,0.000193969,12.9138,1.15209206887323,1.39671,0.124606120082077,,,,330.367,,,,,1187,,,,,11.002,0.017,452.92276,,,0,1,6777,202,202,4.1448498,0.614323,0.614323,1.6903501,0.481344,0.481344,3.40365512257195,2019-02-04 20:26:37,2019-07-31 10:32:40
989,944.01,944,434234955,434234955.01,1,,04h15m14.68s,63.811185,+14d56m41.29s,14.944804,-3.6,3.7,3.7,0,1,-10.8,3.6,3.6,0,1,2458439.3488,0.00487,6.04548,0.00581,3.476,0.144833333333333,0.605,0.025208333333333,2419.82,0.241982,7.59583,0.000759583,,0,,0,,,,594.963,,,,,1375,,,,,11.093,0.018,,,,0,1,7003,6,6,,,,,,,0,2019-02-04 20:26:41,2019-07-31 10:32:40
990,945.01,945,167714792,167714792.01,1,,05h21m49.28s,80.455333,-36d40m25.65s,-36.673793,1.228,0.803,0.803,0,1,9.985,0.858,0.858,0,1,2458438.10347,0.00337,0.92951,0.00027,1.019,0.042458333333333,0.277,0.011541666666667,1370.57,0.137057,10.3198,0.00103198,6.08738,0.543079668123829,0.764724,0.068224105629405,,,,3092.22,,,,,2077,,,,,11.072,0.019,542.52173,,,0,1,6724,201,201,4.0360198,0.564012,0.564012,1.90159,0.489877,0.489877,4.47994550704953,2019-02-04 20:26:37,2019-08-16 12:00:13
991,946.01,946,219205407,219205407.01,1,FP,06h11m20.14s,92.833909,-51d27m59.85s,-51.466624,-13.913,1.168,1.168,0,1,13.349,1.168,1.168,0,1,2458327.33707,0.00014,6.12524,1E-05,2.126,0.088583333333333,0.024,0.001,43143.7,4.31437,16.9232,0.00169232,23.1972,2.06951556784727,0.736544,0.065710054420555,,,,69.7666,,,,,805,,,,,10.804,0.018,,,,0,1,4877,171,171,,,,,,,0,2019-04-01 16:52:00,2019-07-26 03:29:45
