Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc
Kepler-286b,5580,131.0,131.0,-0.35,0.1,0.1,0.843,,,0.863,0.167,0.167,4.495,0.15,0.15,1.851,0.623,0.623,,,,,,,,,,0.111,0.022,0.022,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,22,42.28,48,17,39.4,15.75,14.12,0.0822,0.02,2454966.33057,0.00307,1.796302,9e-06,2014ApJ...784...45R,0.06,0.00017470094444458015,16.26700105817671,15.175001058176711,14.805001058176712,13.87200105817671
Kepler-286c,5580,131.0,131.0,-0.35,0.1,0.1,0.843,,,0.863,0.167,0.167,4.495,0.15,0.15,1.851,0.623,0.623,,,,,,,,,,0.122,0.024,0.024,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,22,42.28,48,17,39.4,15.75,14.12,0.096,0.03,2454969.00318,0.00392,3.468095,2.3e-05,2014ApJ...784...45R,0.2,0.00021104203044502317,16.26700105817671,15.175001058176711,14.805001058176712,13.87200105817671
Kepler-286d,5580,131.0,131.0,-0.35,0.1,0.1,0.843,,,0.863,0.167,0.167,4.495,0.15,0.15,1.851,0.623,0.623,,,,,,,,,,0.119,0.024,0.024,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,22,42.28,48,17,39.4,15.75,14.12,0.1106,0.02,2454966.48698,0.00524,5.914323,5.4e-05,2014ApJ...784...45R,0.06,0.00020079052627868673,16.26700105817671,15.175001058176711,14.805001058176712,13.87200105817671
Kepler-286e,5580,131.0,131.0,-0.35,0.1,0.1,0.843,,,0.863,0.167,0.167,4.495,0.15,0.15,1.851,0.623,0.623,,,,,,,,,,0.158,0.038,0.038,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,22,42.28,48,17,39.4,15.75,14.12,0.1638,0.04,2454972.33017,0.00718,29.221289,0.00037,2014ApJ...784...45R,0.64,0.000353967565710129,16.26700105817671,15.175001058176711,14.805001058176712,13.87200105817671
Kepler-287b,5806,200.0,200.0,-0.08,0.5,0.5,0.976,,,1.032,0.466,0.466,4.402,0.3,0.3,1.253,0.511,0.511,,,,,,,,,,0.208,0.095,0.095,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,23,42.59,48,26,36.8,14.94,13.13,0.094,0.05,2454970.69875,0.00254,20.342199,8.4e-05,2014ApJ...784...45R,0.24,0.000428981103460804,15.432720502007902,14.419720502007902,14.069720502007902,13.218720502007901
Kepler-287c,5806,200.0,200.0,-0.08,0.5,0.5,0.976,,,1.032,0.466,0.466,4.402,0.3,0.3,1.253,0.511,0.511,,,,,,,,,,0.291,0.133,0.133,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,23,42.59,48,26,36.8,14.94,13.13,0.1493,0.08,2455005.463,0.00325,44.851896,0.000247,2014ApJ...784...45R,0.83,0.0008396484102756181,15.432720502007902,14.419720502007902,14.069720502007902,13.218720502007901
Kepler-288b,5918,250.0,250.0,-0.22,0.5,0.5,0.977,,,1.091,0.518,0.518,4.353,0.3,0.3,1.062,0.45,0.45,,,,,,,,,,0.149,0.071,0.071,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,15,39.95,39,35,41.0,15.34,13.58,0.1377,0.02,2455187.06412,0.00575,6.097326,6.4e-05,2014ApJ...784...45R,0.21,0.00019696720503690544,15.763860780092307,14.831860780092306,14.503860780092307,13.727860780092307
Kepler-288c,5918,250.0,250.0,-0.22,0.5,0.5,0.977,,,1.091,0.518,0.518,4.353,0.3,0.3,1.062,0.45,0.45,,,,,,,,,,0.254,0.121,0.121,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,15,39.95,39,35,41.0,15.34,13.58,0.1747,0.07,2455206.19055,0.00328,19.305772,0.000135,2014ApJ...784...45R,0.06,0.000572385757405567,15.763860780092307,14.831860780092306,14.503860780092307,13.727860780092307
Kepler-288d,5918,250.0,250.0,-0.22,0.5,0.5,0.977,,,1.091,0.518,0.518,4.353,0.3,0.3,1.062,0.45,0.45,,,,,,,,,,0.238,0.113,0.113,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,15,39.95,39,35,41.0,15.34,13.58,0.2516,0.06,2454968.55296,0.01046,56.633742,0.000908,2014ApJ...784...45R,0.41,0.0005025453971492488,15.763860780092307,14.831860780092306,14.503860780092307,13.727860780092307
Kepler-290b,5147,200.0,200.0,-0.06,0.5,0.5,0.84,,,0.743,0.382,0.382,4.622,0.3,0.3,2.889,1.022,1.022,,,,,,,,,,0.201,0.109,0.109,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,5,38.4,42,40,53.6,15.83,13.45,0.1002,0.09,2454974.93413,0.00255,14.589347,6.6e-05,2014ApJ...784...45R,0.6,0.0007728324942536263,16.486698897751022,15.179698897751022,14.756698897751022,13.605698897751022
Kepler-290c,5147,200.0,200.0,-0.06,0.5,0.5,0.84,,,0.743,0.382,0.382,4.622,0.3,0.3,2.889,1.022,1.022,,,,,,,,,,0.241,0.124,0.124,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,5,38.4,42,40,53.6,15.83,13.45,0.1782,0.14,2454997.29316,0.00271,36.77031,0.000183,2014ApJ...784...45R,0.22,0.0011110339867514384,16.486698897751022,15.179698897751022,14.756698897751022,13.605698897751022
Kepler-291b,6002,200.0,200.0,0.07,0.5,0.5,1.116,,,1.016,0.441,0.441,4.472,0.3,0.3,1.501,0.45,0.45,,,,,,,,,,0.193,0.084,0.084,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,11,39.92,42,26,14.3,16.08,14.15,0.0944,0.04,2454967.90112,0.00274,3.546511,1.6e-05,2014ApJ...784...45R,0.33,0.0003810641464321893,16.432893136615853,15.568893136615856,15.260893136615856,14.540893136615855
Kepler-291c,6002,200.0,200.0,0.07,0.5,0.5,1.116,,,1.016,0.441,0.441,4.472,0.3,0.3,1.501,0.45,0.45,,,,,,,,,,0.168,0.073,0.073,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,11,39.92,42,26,14.3,16.08,14.15,0.0686,0.03,2454965.68674,0.00483,5.700786,5.5e-05,2014ApJ...784...45R,0.57,0.0002887367303525493,16.432893136615853,15.568893136615856,15.260893136615856,14.540893136615855
Kepler-292b,5299,100.0,100.0,-0.09,0.1,0.1,0.858,,,0.826,0.073,0.073,4.536,0.15,0.15,2.147,0.412,0.412,,,,,,,,,,0.118,0.012,0.012,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,3.87,42,25,27.4,16.18,13.97,0.0872,0.03,2455004.56214,0.00512,2.580827,2e-05,2014ApJ...784...45R,0.09,0.00021551366207859076,16.79304061611922,15.53404061611922,15.12404061611922,14.02404061611922
Kepler-292c,5299,100.0,100.0,-0.09,0.1,0.1,0.858,,,0.826,0.073,0.073,4.536,0.15,0.15,2.147,0.412,0.412,,,,,,,,,,0.131,0.013,0.013,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,3.87,42,25,27.4,16.18,13.97,0.0967,0.03,2455002.79198,0.00513,3.715335,3.3e-05,2014ApJ...784...45R,0.38,0.0002656154808194984,16.79304061611922,15.53404061611922,15.12404061611922,14.02404061611922
Kepler-292d,5299,100.0,100.0,-0.09,0.1,0.1,0.858,,,0.826,0.073,0.073,4.536,0.15,0.15,2.147,0.412,0.412,,,,,,,,,,0.199,0.019,0.019,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,3.87,42,25,27.4,16.18,13.97,0.131,0.07,2455014.90973,0.00369,7.055679,4.3e-05,2014ApJ...784...45R,0.35,0.0006129385616183765,16.79304061611922,15.53404061611922,15.12404061611922,14.02404061611922
Kepler-292e,5299,100.0,100.0,-0.09,0.1,0.1,0.858,,,0.826,0.073,0.073,4.536,0.15,0.15,2.147,0.412,0.412,,,,,,,,,,0.238,0.031,0.031,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,3.87,42,25,27.4,16.18,13.97,0.1706,0.07,2455011.9664,0.00523,11.97901,0.000101,2014ApJ...784...45R,0.91,0.0008767276554711069,16.79304061611922,15.53404061611922,15.12404061611922,14.02404061611922
Kepler-292f,5299,100.0,100.0,-0.09,0.1,0.1,0.858,,,0.826,0.073,0.073,4.536,0.15,0.15,2.147,0.412,0.412,,,,,,,,,,0.21,0.02,0.02,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,3.87,42,25,27.4,16.18,13.97,0.1809,0.08,2455019.03249,0.00604,20.834237,0.000184,2014ApJ...784...45R,0.46,0.0006825734341903083,16.79304061611922,15.53404061611922,15.12404061611922,14.02404061611922
Kepler-293b,5804,200.0,200.0,0.13,0.5,0.5,1.066,,,0.957,0.398,0.398,4.504,0.3,0.3,1.716,0.537,0.537,,,,,,,,,,0.274,0.116,0.116,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,5,25.94,42,24,23.4,15.53,13.66,0.1889,0.1,2454997.78133,0.00245,19.254196,7.9e-05,2014ApJ...784...45R,0.5,0.0008656615675907294,16.00070609916998,14.987706099169982,14.637706099169982,13.786706099169981
Kepler-293c,5804,200.0,200.0,0.13,0.5,0.5,1.066,,,0.957,0.398,0.398,4.504,0.3,0.3,1.716,0.537,0.537,,,,,,,,,,0.342,0.145,0.145,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,5,25.94,42,24,23.4,15.53,13.66,0.192,0.11,2455005.36515,0.00521,54.155743,0.000466,2014ApJ...784...45R,0.91,0.0013486498959944864,16.00070609916998,14.987706099169982,14.637706099169982,13.786706099169981
Kepler-294b,5913,200.0,200.0,-0.0,0.5,0.5,1.075,,,0.976,0.455,0.455,4.491,0.3,0.3,1.631,0.495,0.495,,,,,,,,,,0.158,0.074,0.074,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,9,34.08,46,3,33.5,16.01,14.17,0.1032,0.03,2455013.27593,0.00355,3.701212,2.5e-05,2014ApJ...784...45R,0.05,0.0002767485953313615,16.40909457689965,15.477094576899649,15.14909457689965,14.37309457689965
Kepler-294c,5913,200.0,200.0,-0.0,0.5,0.5,1.075,,,0.976,0.455,0.455,4.491,0.3,0.3,1.631,0.495,0.495,,,,,,,,,,0.242,0.113,0.113,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,9,34.08,46,3,33.5,16.01,14.17,0.1323,0.08,2455016.98818,0.00227,6.6264,2.8e-05,2014ApJ...784...45R,0.14,0.0006492350880061631,16.40909457689965,15.477094576899649,15.14909457689965,14.37309457689965
Kepler-295b,5603,200.0,200.0,-0.33,0.5,0.5,0.816,,,0.898,0.473,0.473,4.444,0.3,0.3,1.59,0.774,0.774,,,,,,,,,,0.109,0.057,0.057,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,1,23.0,45,22,4.0,14.63,12.71,0.3589,0.02,2454971.62536,0.00812,12.645164,0.000181,2014ApJ...784...45R,0.02,0.00015558624850401425,15.187727703426862,14.095727703426862,13.72572770342686,12.792727703426861
Kepler-295c,5603,200.0,200.0,-0.33,0.5,0.5,0.816,,,0.898,0.473,0.473,4.444,0.3,0.3,1.59,0.774,0.774,,,,,,,,,,0.104,0.055,0.055,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,1,23.0,45,22,4.0,14.63,12.71,0.3422,0.02,2454965.2872,0.0096,21.526258,0.000336,2014ApJ...784...45R,0.05,0.00014163966533283545,15.187727703426862,14.095727703426862,13.72572770342686,12.792727703426861
Kepler-295d,5603,200.0,200.0,-0.33,0.5,0.5,0.816,,,0.898,0.473,0.473,4.444,0.3,0.3,1.59,0.774,0.774,,,,,,,,,,0.121,0.064,0.064,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,1,23.0,45,22,4.0,14.63,12.71,0.2239,0.02,2454993.00625,0.00919,33.884054,0.000685,2014ApJ...784...45R,0.5,0.00019172950629974515,15.187727703426862,14.095727703426862,13.72572770342686,12.792727703426861
Kepler-297b,5619,100.0,100.0,-0.22,0.1,0.1,0.887,,,0.915,0.165,0.165,4.468,0.15,0.15,1.633,0.548,0.548,,,,,,,,,,0.256,0.046,0.046,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,50.2,48,46,39.5,14.34,12.78,0.2552,0.09,2455004.28713,0.00209,38.871826,0.000153,2014ApJ...784...45R,0.46,0.0008266251778687254,14.90873490484582,13.81673490484582,13.44673490484582,12.513734904845819
Kepler-298b,4465,100.0,100.0,-0.24,0.1,0.1,0.632,,,0.582,0.025,0.025,4.709,0.15,0.15,4.526,0.414,0.414,,,,,,,,,,0.175,0.009,0.009,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,9.55,48,49,31.3,15.76,13.07,0.0967,0.11,2454985.64156,0.0015,10.475464,2.7e-05,2014ApJ...784...45R,0.42,0.0009547749470267394,16.706450698105762,14.901450698105764,14.326450698105763,12.737450698105764
Kepler-298c,4465,100.0,100.0,-0.24,0.1,0.1,0.632,,,0.582,0.025,0.025,4.709,0.15,0.15,4.526,0.414,0.414,,,,,,,,,,0.172,0.02,0.02,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,9.55,48,49,31.3,15.76,13.07,0.0999,0.11,2455156.03372,0.01134,22.92881,0.00038,2014ApJ...784...45R,0.59,0.0009223203929090303,16.706450698105762,14.901450698105764,14.326450698105763,12.737450698105764
Kepler-298d,4465,100.0,100.0,-0.24,0.1,0.1,0.632,,,0.582,0.025,0.025,4.709,0.15,0.15,4.526,0.414,0.414,,,,,,,,,,0.223,0.018,0.018,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,9.55,48,49,31.3,15.76,13.07,0.1847,0.16,2455017.24735,0.0049,77.473633,0.000615,2014ApJ...784...45R,0.75,0.0015503674560226196,16.706450698105762,14.901450698105764,14.326450698105763,12.737450698105764
Kepler-299b,5617,112.0,112.0,-0.02,0.1,0.1,0.946,,,1.032,0.208,0.208,4.394,0.15,0.15,1.214,0.515,0.515,,,,,,,,,,0.118,0.024,0.024,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,49.67,48,34,49.8,15.17,13.43,0.1061,0.02,2454966.82858,0.0065,2.927128,3.3e-05,2014ApJ...784...45R,0.38,0.00013806242799066742,15.707914740872734,14.615914740872734,14.245914740872733,13.312914740872733
Kepler-299c,5617,112.0,112.0,-0.02,0.1,0.1,0.946,,,1.032,0.208,0.208,4.394,0.15,0.15,1.214,0.515,0.515,,,,,,,,,,0.236,0.056,0.056,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,49.67,48,34,49.8,15.17,13.43,0.167,0.04,2454971.40955,0.00356,6.885875,4e-05,2014ApJ...784...45R,0.95,0.0005522497119626697,15.707914740872734,14.615914740872734,14.245914740872733,13.312914740872733
Kepler-299d,5617,112.0,112.0,-0.02,0.1,0.1,0.946,,,1.032,0.208,0.208,4.394,0.15,0.15,1.214,0.515,0.515,,,,,,,,,,0.166,0.034,0.034,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,49.67,48,34,49.8,15.17,13.43,0.1783,0.03,2454977.58557,0.00804,15.054786,0.000189,2014ApJ...784...45R,0.52,0.00027322955082669,15.707914740872734,14.615914740872734,14.245914740872733,13.312914740872733
Kepler-299e,5617,112.0,112.0,-0.02,0.1,0.1,0.946,,,1.032,0.208,0.208,4.394,0.15,0.15,1.214,0.515,0.515,,,,,,,,,,0.167,0.035,0.035,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,49.67,48,34,49.8,15.17,13.43,0.2349,0.03,2454976.30747,0.02483,38.285489,0.001428,2014ApJ...784...45R,0.22,0.0002765313885544185,15.707914740872734,14.615914740872734,14.245914740872733,13.312914740872733
Kepler-300b,5986,200.0,200.0,-0.24,0.5,0.5,1.002,,,0.9,0.41,0.41,4.532,0.3,0.3,1.939,0.673,0.673,,,,,,,,,,0.149,0.068,0.068,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,41,9.29,48,35,59.0,14.35,12.74,0.0913,0.03,2454966.27803,0.00225,10.446347,4.3e-05,2014ApJ...784...45R,0.33,0.0002894399034302874,14.766184544774871,13.902184544774872,13.594184544774873,12.874184544774872
Kepler-300c,5986,200.0,200.0,-0.24,0.5,0.5,1.002,,,0.9,0.41,0.41,4.532,0.3,0.3,1.939,0.673,0.673,,,,,,,,,,0.201,0.093,0.093,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,41,9.29,48,35,59.0,14.35,12.74,0.3622,0.05,2454979.56443,0.00343,40.714955,0.000245,2014ApJ...784...45R,0.7,0.0005267177847163211,14.766184544774871,13.902184544774872,13.594184544774873,12.874184544774872
Kepler-301b,5815,200.0,200.0,-0.18,0.5,0.5,0.988,,,0.9,0.481,0.481,4.525,0.3,0.3,1.912,0.581,0.581,,,,,,,,,,0.12,0.064,0.064,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,55,55.91,49,13,58.8,14.44,12.7,0.0956,0.02,2454968.0101,0.00232,2.508553,1.2e-05,2014ApJ...784...45R,0.09,0.00018773634563290566,14.950882384349184,13.937882384349184,13.587882384349184,12.736882384349183
Kepler-301c,5815,200.0,200.0,-0.18,0.5,0.5,0.988,,,0.9,0.481,0.481,4.525,0.3,0.3,1.912,0.581,0.581,,,,,,,,,,0.12,0.064,0.064,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,55,55.91,49,13,58.8,14.44,12.7,0.095,0.02,2454964.64467,0.00371,5.419026,3.2e-05,2014ApJ...784...45R,0.11,0.00018773634563290566,14.950882384349184,13.937882384349184,13.587882384349184,12.736882384349183
Kepler-301d,5815,200.0,200.0,-0.18,0.5,0.5,0.988,,,0.9,0.481,0.481,4.525,0.3,0.3,1.912,0.581,0.581,,,,,,,,,,0.156,0.084,0.084,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,55,55.91,49,13,58.8,14.44,12.7,0.1649,0.04,2454977.61227,0.00347,13.751243,8.1e-05,2014ApJ...784...45R,0.27,0.00031727442411961067,14.950882384349184,13.937882384349184,13.587882384349184,12.736882384349183
Kepler-303b,3944,150.0,150.0,-0.36,0.15,0.15,0.5,,,0.485,0.025,0.025,4.768,0.2,0.2,6.19,0.583,0.583,,,,,,,,,,0.079,0.004,0.004,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,32.51,43,39,25.4,14.89,11.59,0.064,0.03,2454967.71867,0.00124,1.937055,4e-06,2014ApJ...784...45R,0.45,0.00028018287803843875,16.114371582220745,13.877371582220746,13.070371582220746,11.190371582220745
Kepler-303c,3944,150.0,150.0,-0.36,0.15,0.15,0.5,,,0.485,0.025,0.025,4.768,0.2,0.2,6.19,0.583,0.583,,,,,,,,,,0.102,0.008,0.008,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,32.51,43,39,25.4,14.89,11.59,0.0439,0.05,2454969.27187,0.00152,7.061149,1.9e-05,2014ApJ...784...45R,0.68,0.00046707621584872873,16.114371582220745,13.877371582220746,13.070371582220746,11.190371582220745
Kepler-304b,4731,100.0,100.0,0.02,0.1,0.1,0.743,,,0.687,0.037,0.037,4.635,0.15,0.15,3.234,0.397,0.397,,,,,,,,,,0.255,0.019,0.019,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,37,46.03,40,33,27.3,15.15,12.62,0.0749,0.17,2454966.96482,0.00037,3.295709,2e-06,2014ApJ...784...45R,0.42,0.001454915509188861,15.97501546101463,14.44101546101463,13.96001546101463,12.57501546101463
Kepler-304c,4731,100.0,100.0,0.02,0.1,0.1,0.743,,,0.687,0.037,0.037,4.635,0.15,0.15,3.234,0.397,0.397,,,,,,,,,,0.194,0.013,0.013,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,37,46.03,40,33,27.3,15.15,12.62,0.0464,0.1,2454965.42892,0.00085,5.315946,7e-06,2014ApJ...784...45R,0.49,0.0008420945806048748,15.97501546101463,14.44101546101463,13.96001546101463,12.57501546101463
Kepler-304d,4731,100.0,100.0,0.02,0.1,0.1,0.743,,,0.687,0.037,0.037,4.635,0.15,0.15,3.234,0.397,0.397,,,,,,,,,,0.245,0.019,0.019,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,37,46.03,40,33,27.3,15.15,12.62,0.1245,0.13,2454967.85589,0.00091,9.653471,1.5e-05,2014ApJ...784...45R,0.75,0.0013430419598471574,15.97501546101463,14.44101546101463,13.96001546101463,12.57501546101463
Kepler-305b,5100,100.0,100.0,0.03,0.1,0.1,0.839,,,0.794,0.05,0.05,4.561,0.15,0.15,2.365,0.374,0.374,,,,0.0586,,,,0.163,0.0,0.257,0.018,0.018,,,,,,,833.0,,,2013ApJ...778..110M,2014ApJ...784...45R,KTEP,19,56,53.84,40,20,35.5,16.09,13.7,0.1147,0.13,2455189.07559,0.00176,5.487108,2.1e-05,2014ApJ...784...45R,,0.0011063591410782588,16.78334277654491,15.403342776544909,14.961342776544909,13.73534277654491
Kepler-305c,5100,100.0,100.0,0.03,0.1,0.1,0.839,,,0.794,0.05,0.05,4.561,0.15,0.15,2.365,0.374,0.374,,,,0.0771,,,,0.189,0.0,0.251,0.027,0.027,,,,,,,729.0,,,2013ApJ...778..110M,2014ApJ...784...45R,KTEP,19,56,53.84,40,20,35.5,16.09,13.7,0.1264,0.1,2455192.63623,0.00322,8.290858,5.6e-05,2014ApJ...784...45R,,0.001055303369423782,16.78334277654491,15.403342776544909,14.961342776544909,13.73534277654491
Kepler-305d,5100,100.0,100.0,0.03,0.1,0.1,0.839,,,0.794,0.05,0.05,4.561,0.15,0.15,2.365,0.374,0.374,,,,,,,,,,0.242,0.037,0.037,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,56,53.84,40,20,35.5,16.09,13.7,0.1025,0.11,2455192.41608,0.00358,16.738661,0.000145,2014ApJ...784...45R,0.62,0.000980981040411015,16.78334277654491,15.403342776544909,14.961342776544909,13.73534277654491
Kepler-306b,4954,100.0,100.0,-0.1,0.1,0.1,0.77,,,0.719,0.041,0.041,4.611,0.15,0.15,2.923,0.401,0.401,,,,,,,,,,0.136,0.009,0.009,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,14,9.28,40,36,58.1,15.8,13.5,0.0965,0.05,2455187.59058,0.00257,4.646186,2.5e-05,2014ApJ...784...45R,0.07,0.00037782520150741577,16.50379961789292,15.12379961789292,14.68179961789292,13.455799617892922
Kepler-306c,4954,100.0,100.0,-0.1,0.1,0.1,0.77,,,0.719,0.041,0.041,4.611,0.15,0.15,2.923,0.401,0.401,,,,,,,,,,0.21,0.017,0.017,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,14,9.28,40,36,58.1,15.8,13.5,0.1272,0.08,2455188.01328,0.00219,7.240193,3.2e-05,2014ApJ...784...45R,0.83,0.0009008483664834034,16.50379961789292,15.12379961789292,14.68179961789292,13.455799617892922
Kepler-306d,4954,100.0,100.0,-0.1,0.1,0.1,0.77,,,0.719,0.041,0.041,4.611,0.15,0.15,2.923,0.401,0.401,,,,,,,,,,0.22,0.021,0.021,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,14,9.28,40,36,58.1,15.8,13.5,0.199,0.08,2455193.50885,0.00396,17.326644,0.000137,2014ApJ...784...45R,0.9,0.0009886861890656855,16.50379961789292,15.12379961789292,14.68179961789292,13.455799617892922
Kepler-306e,4954,100.0,100.0,-0.1,0.1,0.1,0.77,,,0.719,0.041,0.041,4.611,0.15,0.15,2.923,0.401,0.401,,,,,,,,,,0.203,0.013,0.013,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,14,9.28,40,36,58.1,15.8,13.5,0.2285,0.1,2455192.87387,0.00446,44.840975,0.000439,2014ApJ...784...45R,0.31,0.0008417927513472693,16.50379961789292,15.12379961789292,14.68179961789292,13.455799617892922
Kepler-308b,5895,200.0,200.0,-0.11,0.5,0.5,1.038,,,0.941,0.452,0.452,4.508,0.3,0.3,1.758,0.548,0.548,,,,,,,,,,0.189,0.091,0.091,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,8.44,40,26,22.4,16.01,14.18,0.1087,0.05,2455015.45617,0.00558,9.694928,9e-05,2014ApJ...784...45R,0.3,0.0004260055412056923,16.41709457689965,15.47309457689965,15.141094576899649,14.35509457689965
Kepler-308c,5895,200.0,200.0,-0.11,0.5,0.5,1.038,,,0.941,0.452,0.452,4.508,0.3,0.3,1.758,0.548,0.548,,,,,,,,,,0.193,0.093,0.093,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,8.44,40,26,22.4,16.01,14.18,0.1646,0.05,2454972.08277,0.00623,15.38231,0.000171,2014ApJ...784...45R,0.19,0.00044422833639514114,16.41709457689965,15.47309457689965,15.141094576899649,14.35509457689965
Kepler-309b,4713,100.0,100.0,0.2,0.1,0.1,0.778,,,0.721,0.04,0.04,4.612,0.15,0.15,2.927,0.388,0.388,,,,,,,,,,0.139,0.012,0.012,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,50,2.37,46,57,40.5,15.47,12.85,0.1161,0.04,2454967.68239,0.00245,5.923653,2.8e-05,2014ApJ...784...45R,0.81,0.00039249123056088724,16.392907539453773,14.652907539453775,14.102907539453776,12.559907539453775
Kepler-309c,4713,100.0,100.0,0.2,0.1,0.1,0.778,,,0.721,0.04,0.04,4.612,0.15,0.15,2.927,0.388,0.388,,,,,,,,,,0.224,0.016,0.016,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,50,2.37,46,57,40.5,15.47,12.85,0.1524,0.12,2454971.68392,0.00345,105.356383,0.000857,2014ApJ...784...45R,0.4,0.0010192867856023537,16.392907539453773,14.652907539453775,14.102907539453776,12.559907539453775
Kepler-310b,5797,200.0,200.0,-0.3,0.5,0.5,0.925,,,0.876,0.406,0.406,4.521,0.3,0.3,1.942,0.65,0.65,,,,,,,,,,0.106,0.05,0.05,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,15,21.45,46,59,12.3,14.45,12.62,0.0877,0.02,2454967.42673,0.0047,13.930698,0.000108,2014ApJ...784...45R,0.21,0.00015462311024665512,14.960332024278236,13.947332024278236,13.597332024278236,12.746332024278235
