Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc
Kepler-276d,6105,200.0,200.0,0.01,0.5,0.5,1.129,,,1.046,0.485,0.485,4.453,0.3,0.3,1.392,0.413,0.413,,,,,,,,0.236,0.0,0.251,0.118,0.118,,,,,,,,,,2014ApJS..210...25X,2014ApJ...784...45R,KTEP,19,34,16.36,39,2,10.8,15.52,13.83,0.1303,0.07,2455005.1358,0.00919,48.648869,0.000877,2014ApJ...784...45R,,0.0006080719366191988,15.89325645924093,15.029256459240932,14.721256459240932,14.001256459240931
Kepler-277b,6040,131.0,131.0,0.06,0.1,0.1,1.195,,,1.483,0.284,0.284,4.176,0.15,0.15,0.517,0.291,0.291,0.27,0.08,0.27,0.137,0.003,0.003,,0.708,0.0,0.222,0.044,0.044,,,,,,,,,,2014ApJS..210...25X,2014ApJ...784...45R,KTEP,19,6,19.96,39,4,37.9,13.56,11.96,0.3335,0.02,2454975.1014,0.00428,17.324055,0.000129,2014ApJ...784...45R,,0.00023664347467394322,14.005353628535113,13.141353628535114,12.833353628535114,12.113353628535114
Kepler-277c,6040,131.0,131.0,0.06,0.1,0.1,1.195,,,1.483,0.284,0.284,4.176,0.15,0.15,0.517,0.291,0.291,0.05,0.06,0.05,0.213,0.004,0.004,,3.42,0.0,0.209,0.04,0.04,,,,,,,,,,2014ApJS..210...25X,2014ApJ...784...45R,KTEP,19,6,19.96,39,4,37.9,13.56,11.96,0.3038,0.02,2454978.38846,0.00469,33.006496,0.000235,2014ApJ...784...45R,,0.00020973994840582164,14.005353628535113,13.141353628535114,12.833353628535114,12.113353628535114
Kepler-279b,6363,259.0,259.0,-0.2,0.1,0.1,1.241,,,1.746,0.315,0.315,4.051,0.15,0.15,0.329,0.136,0.136,,,,,,,,,,0.323,0.063,0.063,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,9,33.89,42,11,41.4,13.69,12.5,0.2445,0.04,2454970.68644,0.00246,12.309681,5.1e-05,2014ApJ...784...45R,0.69,0.0003613994211278102,14.06240038789658,13.302400387896581,13.02540038789658,12.39340038789658
Kepler-279c,6363,259.0,259.0,-0.2,0.1,0.1,1.241,,,1.746,0.315,0.315,4.051,0.15,0.15,0.329,0.136,0.136,,,,0.232,,,,0.251,0.0,0.476,0.088,0.088,,,,,,,699.0,,,2013ApJ...778..110M,2014ApJ...784...45R,KTEP,19,9,33.89,42,11,41.4,13.69,12.5,0.3379,0.08,2454984.0638,0.00261,35.740844,0.000182,2014ApJ...784...45R,,0.0007848674408980696,14.06240038789658,13.302400387896581,13.02540038789658,12.39340038789658
Kepler-279d,6363,259.0,259.0,-0.2,0.1,0.1,1.241,,,1.746,0.315,0.315,4.051,0.15,0.15,0.329,0.136,0.136,,,,0.307,,,,0.098,0.0,0.443,0.087,0.087,,,,,,,607.0,,,2013ApJ...778..110M,2014ApJ...784...45R,KTEP,19,9,33.89,42,11,41.4,13.69,12.5,0.341,0.06,2454981.87848,0.00469,54.399606,0.000457,2014ApJ...784...45R,,0.0006798136184273944,14.06240038789658,13.302400387896581,13.02540038789658,12.39340038789658
Kepler-280b,5744,200.0,200.0,-0.17,0.5,0.5,0.984,,,0.886,0.426,0.426,4.537,0.3,0.3,1.996,0.689,0.689,,,,,,,,,,0.129,0.062,0.062,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,25,33.72,42,10,50.1,14.64,12.84,0.0842,0.03,2454966.6526,0.0015,2.139542,6e-06,2014ApJ...784...45R,0.33,0.00022386328042670484,15.154727703426861,14.125727703426861,13.771727703426862,12.903727703426862
Kepler-280c,5744,200.0,200.0,-0.17,0.5,0.5,0.984,,,0.886,0.426,0.426,4.537,0.3,0.3,1.996,0.689,0.689,,,,,,,,,,0.179,0.087,0.087,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,25,33.72,42,10,50.1,14.64,12.84,0.0375,0.04,2454967.64249,0.00104,4.807091,9e-06,2014ApJ...784...45R,0.68,0.0004310319913558109,15.154727703426861,14.125727703426861,13.771727703426862,12.903727703426862
Kepler-281b,5723,200.0,200.0,0.01,0.5,0.5,0.999,,,0.899,0.347,0.347,4.531,0.3,0.3,1.941,0.651,0.651,,,,,,,,,,0.252,0.1,0.1,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,36,25.96,44,46,14.5,15.97,13.99,0.2622,0.07,2454969.51691,0.00588,14.646008,0.000139,2014ApJ...784...45R,0.92,0.0008297601713377023,16.43574565711249,15.406745657112493,15.052745657112494,14.184745657112494
Kepler-281c,5723,200.0,200.0,0.01,0.5,0.5,0.999,,,0.899,0.347,0.347,4.531,0.3,0.3,1.941,0.651,0.651,,,,,,,,,,0.474,0.184,0.184,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,36,25.96,44,46,14.5,15.97,13.99,0.2837,0.29,2454993.40092,0.00175,36.337373,0.000111,2014ApJ...784...45R,0.77,0.002935676433854082,16.43574565711249,15.406745657112493,15.052745657112494,14.184745657112494
